ラベルの値_解答to正答,ラベルの値_正答to解答,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
0.9935095,0.99559563,0,0,1,0,0
0.9938658,0.99820757,0,0,0,0,0
0.9856022,0.9968617,0,0,1,0,0
0.9902226,0.99750817,0,0,1,0,0
0.9921083,0.99265975,0,0,1,0,0
0.99831426,0.99838555,0,1,1,0,1
0.9761439,0.9973449,0,0,1,0,0
0.97145754,0.9951799,0,0,1,0,0
0.9936679,0.9973767,0,0,1,0,0
0.9989827,0.9978719,0,0,1,0,0
0.8903409,0.98439664,0,1,1,1,0
0.6815875,0.9607518,1,1,1,1,1
0.97471833,0.6137147,1,1,1,1,1
0.9703438,0.8653993,0,0,1,0,0
0.97471833,0.6137147,1,1,1,1,1
0.99669373,0.9876522,1,1,1,1,1
0.99638367,0.9692217,1,1,1,1,1
0.99638367,0.9692217,1,1,1,1,1
0.9932967,0.9165066,1,1,1,1,1
0.8745471,0.7915788,1,1,1,1,1
0.9892998,0.9923515,1,1,1,1,1
0.92325914,0.9837863,0,1,1,0,1
0.89705664,0.91479194,0,1,1,1,0
0.99823064,0.9980379,1,1,1,1,1
0.97629863,0.97609335,0,0,1,0,0
0.46972615,0.8993946,1,1,1,1,1
0.99123514,0.98501784,0,0,1,0,0
0.99489176,0.99614066,0,0,1,0,0
0.6366799,0.8012678,1,1,1,1,1
0.9978034,0.9908131,0,0,1,0,0
0.9836331,0.9744547,0,0,0,0,0
0.98697436,0.99542,0,1,1,1,0
0.9027637,0.9896534,0,1,1,1,0
0.99794954,0.99678206,0,1,1,1,0
0.9867855,0.98290986,0,0,1,0,0
0.9911408,0.9973182,0,0,1,0,0
0.9928059,0.9945555,0,0,1,0,0
0.9957415,0.9974482,0,1,1,1,0
0.6466807,0.9891433,0,0,1,0,0
0.99441385,0.9968899,0,0,1,0,0
0.9863442,0.9983866,1,1,1,1,1
0.9242573,0.99308044,1,1,1,1,1
0.98615277,0.9947737,1,1,1,1,1
0.7581863,0.9848616,0,0,1,0,0
0.9754782,0.99431425,1,1,1,1,1
0.99646676,0.867197,0,0,0,0,0
0.98741037,0.9846325,1,1,1,1,1
0.999084,0.97937185,0,0,1,0,0
0.9910952,0.9976593,0,1,1,0,1
0.99383116,0.99278307,0,0,0,0,0
0.996398,0.9857195,0,1,1,0,1
0.99669397,0.9946122,0,1,1,1,0
0.9943137,0.9997054,0,1,1,1,0
0.99664766,0.99273866,1,1,1,1,1
0.9966629,0.99019986,0,0,1,0,0
0.9908103,0.9145095,1,1,1,1,1
0.99712354,0.9878775,1,1,1,1,1
0.9959829,0.98909855,0,1,1,1,0
0.99625504,0.9910891,0,1,1,0,1
0.9918914,0.9884277,1,1,1,1,1
0.4016327,0.9963194,0,0,0,0,0
0.6700237,0.99690765,0,0,1,0,0
0.99783725,0.99792,0,1,1,0,1
0.9944258,0.99818194,0,1,1,1,0
0.9896882,0.9979722,1,1,1,1,1
0.99162745,0.9986474,0,0,0,0,0
0.7280827,0.9948021,0,1,1,0,1
0.9730883,0.5192554,0,0,1,0,0
0.99869955,0.9997135,1,1,1,1,1
0.56916404,0.9818076,0,1,1,1,0
0.9989281,0.9837338,0,0,0,0,0
0.77713937,0.9802904,1,1,1,1,1
0.9902666,0.9953265,0,1,1,0,1
0.71947134,0.99362284,0,1,1,0,1
0.99891853,0.97881794,0,0,1,0,0
0.9983438,0.9972385,1,1,1,1,1
0.9963295,0.98502696,0,1,1,1,0
0.9787001,0.99145424,0,1,1,1,0
0.9984018,0.9973998,1,1,1,1,1
0.92105746,0.99070287,0,0,1,0,0
0.9946794,0.92641056,0,0,1,0,0
0.9941056,0.4053862,0,0,0,0,0
0.99197304,0.8860491,0,0,1,0,0
0.98659617,0.9863846,0,0,0,0,0
0.9874407,0.9900506,0,1,1,0,1
0.75678235,0.99960464,0,0,1,0,0
0.9973578,0.9958151,1,1,1,1,1
0.99572444,0.99422014,1,1,1,1,1
0.99710244,0.9915854,0,1,1,1,0
0.99478465,0.814184,0,0,1,0,0
0.8495432,0.5915951,0,0,1,0,0
0.8086936,0.9737221,0,0,1,0,0
0.9058598,0.9964652,0,0,0,0,0
0.9945892,0.92767966,1,1,1,1,1
0.56849056,0.9441435,0,1,1,1,0
0.9721122,0.95424366,0,0,0,0,0
0.9927008,0.9975357,1,1,1,1,1
0.9620103,0.86499023,0,1,1,1,0
0.988209,0.9967083,0,0,1,0,0
0.9916855,0.9985429,0,0,1,0,0
0.9184299,0.6572849,0,0,1,0,0
0.99389887,0.98802865,0,0,0,0,0
0.98902893,0.69648415,1,1,1,1,1
0.9608658,0.98313415,0,0,1,0,0
0.9432439,0.97514856,1,1,1,1,1
0.98832417,0.97893435,0,0,1,0,0
0.988729,0.99779797,0,1,1,1,0
0.99557143,0.98992634,1,1,1,1,1
0.9954816,0.99543566,1,1,1,1,1
0.9932139,0.95588875,0,0,1,0,0
0.9895298,0.48377606,0,0,1,0,0
0.99416924,0.98921555,0,1,1,1,0
0.99900395,0.9949445,0,1,1,0,1
0.98790795,0.9978115,1,1,1,1,1
0.9990983,0.99452776,0,0,0,0,0
0.9970305,0.9981816,1,1,1,1,1
0.9974821,0.99843997,0,0,1,0,0
0.99590343,0.7320978,1,1,1,1,1
0.99580944,0.98588204,0,1,1,1,0
0.9895586,0.98417294,0,1,1,0,0
0.9929715,0.9802459,0,1,1,0,0
0.99756503,0.8687371,0,1,1,1,0
0.97867715,0.99869907,1,1,1,1,1
0.99770904,0.9972567,1,1,1,1,1
0.9003807,0.99873906,0,0,1,0,0
0.99546546,0.98206615,0,0,0,0,0
0.994296,0.9883022,1,1,1,1,1
0.9958831,0.5742783,1,1,1,1,1
0.9979081,0.991046,1,1,1,1,1
0.9949927,0.9290652,0,1,1,0,0
0.99827623,0.99819046,1,1,1,1,1
0.99424887,0.93357104,0,0,1,0,0
0.99499655,0.9966181,0,1,1,1,0
0.9989151,0.9892408,0,0,1,0,0
0.988684,0.9986985,0,0,1,0,0
0.99616677,0.99028766,0,1,1,0,1
0.9989166,0.571023,0,1,1,1,0
0.99744797,0.9971456,0,0,0,0,0
0.9934975,0.996084,0,1,1,0,0
0.6008406,0.99509794,0,0,0,0,0
0.9953458,0.99533916,0,1,1,0,0
0.9900092,0.99663156,0,1,1,1,0
0.9694464,0.97461206,0,0,1,0,0
0.9191622,0.99691284,0,1,1,1,0
0.7203809,0.9940394,0,1,1,1,0
0.954351,0.9809533,0,0,1,0,0
0.9983491,0.99835724,1,1,1,1,1
0.9982685,0.99828905,1,1,1,1,1
0.9975069,0.99833447,1,1,1,1,1
0.97427535,0.9926379,0,0,0,0,0
0.9984842,0.99831676,1,1,1,1,1
0.9984363,0.9960147,0,0,1,0,0
0.53983086,0.5999498,1,1,1,1,1
0.98025906,0.98717207,1,1,1,1,1
0.98807865,0.996207,0,1,1,1,0
0.9667086,0.9817421,0,0,1,0,0
0.47470602,0.97340435,0,1,1,1,0
0.9856098,0.99335676,0,1,1,1,0
0.7621853,0.9951068,0,0,1,0,0
0.997544,0.9980033,0,1,1,0,0
0.7937201,0.9820148,0,1,1,1,0
0.99298877,0.9713127,1,1,1,1,1
0.9937895,0.8132398,0,0,1,0,0
0.99216706,0.9968021,0,0,1,0,0
0.99834514,0.99887544,0,0,0,0,0
0.9976109,0.983797,0,0,0,0,0
0.99799263,0.9924819,0,1,1,1,0
0.997707,0.9957176,0,1,1,1,0
0.9983827,0.9975103,0,1,1,0,0
0.9982938,0.9963308,0,1,1,1,0
0.9397774,0.97951174,0,0,0,0,0
0.9890246,0.9978872,0,0,0,0,0
0.99707055,0.9898031,0,1,1,1,0
0.97968113,0.99472344,1,1,1,1,1
0.70318,0.9959015,0,0,0,0,0
0.83405066,0.98991126,0,0,0,0,0
0.9961195,0.996191,1,1,1,1,1
0.99663585,0.99686384,1,1,1,1,1
0.9957573,0.99468344,0,1,1,1,0
0.99732286,0.9969964,0,1,1,1,0
0.7848012,0.90562415,0,1,1,1,0
0.99771214,0.9957781,1,1,1,1,1
0.99411845,0.9903134,1,1,1,1,1
0.9934242,0.9953245,0,0,1,0,0
0.99968505,0.99564314,0,0,0,0,0
0.99597794,0.9939388,0,0,0,0,0
0.99729985,0.99823666,0,0,1,0,0
0.99743724,0.9968458,0,1,1,0,0
0.980346,0.9944882,0,1,1,0,1
0.99352807,0.99502003,0,1,1,1,0
0.9977235,0.9980819,0,1,1,1,0
0.99757856,0.9983814,1,1,1,1,1
0.99735403,0.9945634,1,1,1,1,1
0.99776113,0.99832827,1,1,1,1,1
0.9969836,0.9939056,1,1,1,1,1
0.95440376,0.95143294,0,0,1,0,0
0.98498154,0.99586606,1,1,1,1,1
0.83769315,0.990112,1,1,1,1,1
0.7141055,0.990764,0,0,0,0,0
0.9823278,0.895579,0,0,0,0,0
0.61918974,0.9915665,0,0,0,0,0
0.7543187,0.9890253,1,1,1,1,1
0.6643514,0.8852337,0,0,0,0,0
0.83767307,0.98716867,1,1,1,1,1
0.9922529,0.9912005,0,1,1,0,1
0.9946726,0.9373556,0,0,0,0,0
0.94368917,0.9816011,1,1,1,1,1
0.9915581,0.9857545,0,0,1,0,0
0.9791678,0.98336744,0,1,1,1,0
0.99889576,0.7291078,1,1,1,1,1
0.9928437,0.986516,0,1,1,1,0
0.99053895,0.9842248,0,1,1,0,1
0.9773999,0.8458118,0,0,1,0,0
0.9882627,0.99756587,0,0,0,0,0
0.9685958,0.9908702,0,0,0,0,0
0.99759847,0.991206,1,1,1,1,1
0.99840444,0.99639624,1,1,1,1,1
0.9659976,0.99186605,1,1,1,1,1
0.99728084,0.9955591,0,1,1,1,0
0.98940253,0.7591638,0,0,0,0,0
0.9980945,0.9841314,0,0,0,0,0
0.9967012,0.9976132,1,1,1,1,1
0.99764556,0.9975695,1,1,1,1,1
0.99740356,0.9961654,0,1,1,0,0
0.9983772,0.74092346,0,1,1,0,0
0.99687225,0.9968927,1,1,1,1,1
0.99320954,0.9698253,0,0,0,0,0
0.97433686,0.99784005,1,1,1,1,1
0.99803907,0.99777776,0,0,0,0,0
0.9972562,0.99666226,1,1,1,1,1
0.98747826,0.75365627,1,1,1,1,1
0.99717414,0.99643,0,0,0,0,0
0.9920771,0.99092215,0,0,0,0,0
0.99767226,0.9838933,1,1,1,1,1
0.9944074,0.89477414,0,0,0,0,0
0.99650586,0.95087814,0,0,0,0,0
0.99198395,0.9769945,0,0,1,0,0
0.9940329,0.9975279,0,0,1,0,0
0.9937494,0.98959,0,1,1,0,1
0.9932387,0.7604107,0,0,0,0,0
0.9978441,0.9986473,0,0,0,0,0
0.9902649,0.9924631,1,1,1,1,1
0.9665108,0.9925247,1,1,1,1,1
0.9220319,0.992547,1,1,1,1,1
0.487908,0.99323696,0,0,1,0,0
0.7718772,0.9296792,1,1,1,1,1
0.9530946,0.9969784,0,1,1,1,0
0.9963982,0.99777156,0,1,1,0,0
0.99543875,0.99834394,1,1,1,1,1
0.69578236,0.99656504,1,1,1,1,1
0.99631906,0.9951934,0,0,0,0,0
0.99557626,0.9974406,1,1,1,1,1
0.99578106,0.9467315,0,1,1,0,0
0.9958768,0.9984102,0,1,1,1,0
0.9670329,0.5695603,0,0,0,0,0
0.7371274,0.9885805,1,1,1,1,1
0.9990453,0.9970579,0,0,1,0,0
0.9747542,0.99713886,1,1,1,1,1
0.99870455,0.9928973,1,1,1,1,1
0.98557717,0.99136543,1,1,1,1,1
0.9929557,0.9977198,0,0,0,0,0
0.9749073,0.9962543,1,1,1,1,1
0.99480116,0.9867556,0,1,1,1,0
0.9909648,0.9982425,1,1,1,1,1
0.9970228,0.99388146,0,0,1,0,0
0.9975682,0.9975682,1,1,1,1,1
0.99757105,0.9981026,0,1,1,1,0
0.99778867,0.9979449,0,1,1,1,0
0.9949405,0.9954365,0,1,1,1,0
0.9976675,0.9977476,1,1,1,1,1
0.9979284,0.9977684,0,0,1,0,0
0.99023926,0.9968821,0,0,1,0,0
0.9971002,0.9778701,0,0,0,0,0
0.9978713,0.9981944,0,0,1,0,0
0.9973484,0.9976799,0,0,0,0,0
0.995741,0.99803334,1,1,1,1,1
0.9322975,0.99793077,0,0,0,0,0
0.9979265,0.49912784,1,1,1,1,1
0.9882129,0.99738115,1,1,1,1,1
0.99529207,0.99820006,1,1,1,1,1
0.998681,0.99151796,0,0,0,0,0
0.996323,0.99818283,0,0,1,0,0
0.99763477,0.9982664,1,1,1,1,1
0.995823,0.9953695,1,1,1,1,1
0.9930528,0.71468323,0,0,0,0,0
0.9881164,0.9954137,0,0,0,0,0
0.9980039,0.99338394,1,1,1,1,1
0.9982256,0.969061,0,0,1,0,0
0.99671435,0.99172276,0,0,1,0,0
0.99771476,0.9556531,0,0,0,0,0
0.9985176,0.9422207,0,0,0,0,0
0.9925188,0.99376523,1,1,1,1,1
0.7412987,0.99825746,0,1,1,1,0
0.9973014,0.9974624,1,1,1,1,1
0.99800295,0.99559706,1,1,1,1,1
0.9989248,0.99898547,0,0,0,0,0
0.9982381,0.9982849,1,1,1,1,1
0.99732155,0.9981945,1,1,1,1,1
0.9982338,0.6839613,0,0,1,0,0
0.99725926,0.9936091,0,1,1,0,1
0.9821253,0.98399884,0,1,1,1,0
0.85919386,0.9968363,0,0,0,0,0
0.99311817,0.9974375,0,1,1,1,0
0.98482925,0.99110794,0,1,1,1,0
0.9987081,0.99835974,0,1,1,1,0
0.99796355,0.9981217,1,1,1,1,1
0.99276215,0.99410266,1,1,1,1,1
0.8711789,0.9975314,1,1,1,1,1
0.96578336,0.9979096,0,0,1,0,0
0.9792113,0.997799,1,1,1,1,1
0.99901414,0.9927013,0,0,0,0,0
0.99393046,0.98682517,0,0,0,0,0
0.9986235,0.9964503,0,0,0,0,0
0.9974349,0.9978588,1,1,1,1,1
0.99914277,0.98967206,0,0,0,0,0
0.9939207,0.99801457,0,0,0,0,0
0.99687105,0.9959573,0,0,1,0,0
0.97543293,0.99768555,1,1,1,1,1
0.93886113,0.9895443,0,1,1,1,0
0.9739758,0.9928388,0,1,1,0,0
0.9829196,0.98248714,0,0,0,0,0
0.99739575,0.9978484,1,1,1,1,1
0.99758065,0.9965121,0,1,1,0,1
0.9873726,0.99689865,1,1,1,1,1
0.9981438,0.99740547,0,0,1,0,0
0.9915221,0.9906799,0,0,0,0,0
0.99607867,0.99748707,1,1,1,1,1
0.9983767,0.616478,0,0,0,0,0
0.99571204,0.99552506,1,1,1,1,1
0.9828326,0.97068393,0,0,0,0,0
0.9977551,0.9621593,0,0,0,0,0
0.9983979,0.998131,1,1,1,1,1
0.9983334,0.9982767,0,1,1,1,0
0.9976665,0.9982969,0,1,1,0,1
0.9906375,0.98856235,0,0,0,0,0
0.9983518,0.9982595,0,0,0,0,0
0.99802303,0.9982918,1,1,1,1,1
0.9975121,0.9975159,0,1,1,0,1
0.9953086,0.9936452,0,0,1,0,0
0.9984127,0.9970215,0,0,0,0,0
0.99741167,0.9969037,0,0,1,0,0
0.9885117,0.9907533,0,0,0,0,0
0.783609,0.99305665,0,0,1,0,0
0.99767584,0.9746516,1,1,1,1,1
0.99371296,0.99630153,0,1,1,0,1
0.6950908,0.98452824,0,0,0,0,0
0.9938725,0.9980386,0,0,1,0,0
0.99354386,0.98773324,0,0,1,0,0
0.9983772,0.99792886,0,0,1,0,0
0.99830246,0.99739313,0,0,0,0,0
0.99235135,0.99472815,1,1,1,1,1
0.9944179,0.9913531,0,1,1,0,0
0.941168,0.99755126,0,1,1,0,0
0.7736416,0.9969223,0,1,1,0,0
0.5344228,0.9835217,1,1,1,1,1
0.5685898,0.9909944,0,0,0,0,0
0.8905626,0.99598914,0,1,1,0,1
0.9954852,0.9957579,0,1,1,1,0
0.98613304,0.9916779,0,0,0,0,0
0.99005985,0.6199652,0,0,0,0,0
0.9977355,0.9978695,0,1,1,1,0
0.9961333,0.9901299,0,0,0,0,0
0.9984199,0.9982668,1,1,1,1,1
0.9982722,0.998211,1,1,1,1,1
0.99497664,0.9362173,0,1,1,1,0
0.9791726,0.9976273,1,1,1,1,1
0.9871219,0.998252,1,1,1,1,1
0.990121,0.9977143,1,1,1,1,1
0.9965636,0.997347,1,1,1,1,1
0.9938461,0.9978668,0,1,1,0,1
0.85679865,0.99822086,1,1,1,1,1
0.9091888,0.99139225,0,1,1,0,1
0.9862027,0.9932181,0,1,1,1,0
0.9995018,0.99637383,0,0,0,0,0
0.9888122,0.9954379,0,1,1,0,1
0.9687773,0.99857867,0,0,0,0,0
0.983384,0.93682086,1,1,1,1,1
0.95573026,0.9444192,0,1,1,1,0
0.9965359,0.9959461,1,1,1,1,1
0.93816835,0.99814916,0,1,1,0,0
0.6758549,0.83616626,1,1,1,1,1
0.9331056,0.9982691,1,1,1,1,1
0.9233999,0.98408407,1,1,1,1,1
0.99863535,0.9901569,0,0,0,0,0
0.99085826,0.9897658,1,1,1,1,1
0.9977424,0.9203632,0,0,0,0,0
0.6322066,0.80290365,1,1,1,1,1
0.99098957,0.9837531,0,0,0,0,0
0.9948549,0.46500415,0,0,0,0,0
0.99672467,0.901684,0,0,0,0,0
0.97324187,0.99805605,0,0,0,0,0
0.99841857,0.99818426,1,1,1,1,1
0.99838316,0.9984889,0,1,1,1,0
0.998346,0.99832505,1,1,1,1,1
0.9935549,0.99825186,0,1,1,0,0
0.9148845,0.69477534,1,1,1,1,1
0.39206326,0.98967606,0,1,1,1,0
0.9937005,0.99658966,0,1,1,1,0
0.9856065,0.99377066,0,1,1,1,0
0.9271611,0.9673817,0,0,0,0,0
0.9915718,0.98722005,0,0,0,0,0
0.9947536,0.9932058,0,0,0,0,0
0.94058,0.9950159,0,1,1,1,0
0.9972894,0.9982528,1,1,1,1,1
0.99685436,0.99053115,0,0,0,0,0
0.99016774,0.96678627,0,0,0,0,0
0.99182194,0.9988752,0,1,1,1,0
0.99136364,0.99480385,0,0,0,0,0
0.9943376,0.99603313,0,0,0,0,0
0.991916,0.87404597,0,0,0,0,0
0.98435366,0.9638648,0,0,0,0,0
0.99686974,0.9852267,0,1,1,1,0
0.9972817,0.9946866,0,1,1,1,0
0.997884,0.99384415,0,1,1,1,0
0.99802667,0.9958333,1,1,1,1,1
0.99143434,0.96839464,0,0,0,0,0
0.64829797,0.9951886,0,0,0,0,0
0.9965745,0.96552414,1,1,1,1,1
0.99549353,0.98847187,1,1,1,1,1
0.5719201,0.9978654,0,1,1,1,0
0.9982687,0.98545516,0,0,0,0,0
0.99560225,0.9958049,1,1,1,1,1
0.99723476,0.99072015,0,1,1,1,0
0.9923983,0.99509346,1,1,1,1,1
0.9610222,0.9909244,1,1,1,1,1
0.99891233,0.9245673,0,1,1,0,0
0.9982468,0.9980757,0,1,1,0,0
0.9990589,0.9922651,1,1,1,1,1
0.99794,0.9979609,0,1,1,1,0
0.9964838,0.9828346,0,0,0,0,0
