ラベルの値_解答to正答,ラベルの値_正答to解答,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
0.9881164,0.9954137,0,0,0,0,0
0.9980039,0.99338394,1,1,1,1,1
0.9982256,0.969061,0,0,1,0,0
0.99671435,0.99172276,0,0,1,0,0
0.99771476,0.9556531,0,0,0,0,0
0.9985176,0.9422207,0,0,0,0,0
0.9925188,0.99376523,1,1,1,1,1
0.7412987,0.99825746,0,1,1,1,0
0.9973014,0.9974624,1,1,1,1,1
0.99800295,0.99559706,1,1,1,1,1
0.9989248,0.99898547,0,0,0,0,0
0.9982381,0.9982849,1,1,1,1,1
0.99732155,0.9981945,1,1,1,1,1
0.9982338,0.6839613,0,0,1,0,0
0.99725926,0.9936091,0,1,1,0,1
0.9821253,0.98399884,0,1,1,1,0
0.85919386,0.9968363,0,0,0,0,0
0.99311817,0.9974375,0,1,1,1,0
0.98482925,0.99110794,0,1,1,1,0
0.9987081,0.99835974,0,1,1,1,0
0.99796355,0.9981217,1,1,1,1,1
0.99276215,0.99410266,1,1,1,1,1
0.8711789,0.9975314,1,1,1,1,1
0.96578336,0.9979096,0,0,1,0,0
0.9792113,0.997799,1,1,1,1,1
0.99901414,0.9927013,0,0,0,0,0
0.99393046,0.98682517,0,0,0,0,0
0.9986235,0.9964503,0,0,0,0,0
0.9974349,0.9978588,1,1,1,1,1
0.99914277,0.98967206,0,0,0,0,0
0.9939207,0.99801457,0,0,0,0,0
0.99687105,0.9959573,0,0,1,0,0
0.97543293,0.99768555,1,1,1,1,1
0.93886113,0.9895443,0,1,1,1,0
0.9739758,0.9928388,0,1,1,0,0
0.9829196,0.98248714,0,0,0,0,0
0.99739575,0.9978484,1,1,1,1,1
0.99758065,0.9965121,0,1,1,0,1
0.9873726,0.99689865,1,1,1,1,1
0.9981438,0.99740547,0,0,1,0,0
0.9915221,0.9906799,0,0,0,0,0
0.99607867,0.99748707,1,1,1,1,1
0.9983767,0.616478,0,0,0,0,0
0.99571204,0.99552506,1,1,1,1,1
0.9828326,0.97068393,0,0,0,0,0
0.9977551,0.9621593,0,0,0,0,0
0.9983979,0.998131,1,1,1,1,1
0.9983334,0.9982767,0,1,1,1,0
0.9976665,0.9982969,0,1,1,0,1
0.9906375,0.98856235,0,0,0,0,0
0.9983518,0.9982595,0,0,0,0,0
0.99802303,0.9982918,1,1,1,1,1
0.9975121,0.9975159,0,1,1,0,1
0.9953086,0.9936452,0,0,1,0,0
0.9984127,0.9970215,0,0,0,0,0
0.99741167,0.9969037,0,0,1,0,0
0.9885117,0.9907533,0,0,0,0,0
0.783609,0.99305665,0,0,1,0,0
0.99767584,0.9746516,1,1,1,1,1
0.99371296,0.99630153,0,1,1,0,1
0.6950908,0.98452824,0,0,0,0,0
0.9938725,0.9980386,0,0,1,0,0
0.99354386,0.98773324,0,0,1,0,0
0.9983772,0.99792886,0,0,1,0,0
0.99830246,0.99739313,0,0,0,0,0
0.99235135,0.99472815,1,1,1,1,1
0.9944179,0.9913531,0,1,1,0,0
0.941168,0.99755126,0,1,1,0,0
0.7736416,0.9969223,0,1,1,0,0
0.5344228,0.9835217,1,1,1,1,1
0.5685898,0.9909944,0,0,0,0,0
0.8905626,0.99598914,0,1,1,0,1
0.9954852,0.9957579,0,1,1,1,0
0.98613304,0.9916779,0,0,0,0,0
0.99005985,0.6199652,0,0,0,0,0
0.9977355,0.9978695,0,1,1,1,0
0.9961333,0.9901299,0,0,0,0,0
0.9984199,0.9982668,1,1,1,1,1
0.9982722,0.998211,1,1,1,1,1
0.99497664,0.9362173,0,1,1,1,0
0.9791726,0.9976273,1,1,1,1,1
0.9871219,0.998252,1,1,1,1,1
0.990121,0.9977143,1,1,1,1,1
0.9965636,0.997347,1,1,1,1,1
0.9938461,0.9978668,0,1,1,0,1
0.85679865,0.99822086,1,1,1,1,1
0.9091888,0.99139225,0,1,1,0,1
0.9862027,0.9932181,0,1,1,1,0
0.9995018,0.99637383,0,0,0,0,0
0.9888122,0.9954379,0,1,1,0,1
0.9687773,0.99857867,0,0,0,0,0
0.983384,0.93682086,1,1,1,1,1
0.95573026,0.9444192,0,1,1,1,0
0.9965359,0.9959461,1,1,1,1,1
0.93816835,0.99814916,0,1,1,0,0
0.6758549,0.83616626,1,1,1,1,1
0.9331056,0.9982691,1,1,1,1,1
0.9233999,0.98408407,1,1,1,1,1
0.99863535,0.9901569,0,0,0,0,0
0.99085826,0.9897658,1,1,1,1,1
0.9977424,0.9203632,0,0,0,0,0
0.6322066,0.80290365,1,1,1,1,1
0.99098957,0.9837531,0,0,0,0,0
0.9948549,0.46500415,0,0,0,0,0
0.99672467,0.901684,0,0,0,0,0
0.97324187,0.99805605,0,0,0,0,0
0.99841857,0.99818426,1,1,1,1,1
0.99838316,0.9984889,0,1,1,1,0
0.998346,0.99832505,1,1,1,1,1
0.9935549,0.99825186,0,1,1,0,0
0.9148845,0.69477534,1,1,1,1,1
0.39206326,0.98967606,0,1,1,1,0
0.9937005,0.99658966,0,1,1,1,0
0.9856065,0.99377066,0,1,1,1,0
0.9271611,0.9673817,0,0,0,0,0
0.9915718,0.98722005,0,0,0,0,0
0.9947536,0.9932058,0,0,0,0,0
0.94058,0.9950159,0,1,1,1,0
0.9972894,0.9982528,1,1,1,1,1
0.99685436,0.99053115,0,0,0,0,0
0.99016774,0.96678627,0,0,0,0,0
0.99182194,0.9988752,0,1,1,1,0
0.99136364,0.99480385,0,0,0,0,0
0.9943376,0.99603313,0,0,0,0,0
0.991916,0.87404597,0,0,0,0,0
0.98435366,0.9638648,0,0,0,0,0
0.99686974,0.9852267,0,1,1,1,0
0.9972817,0.9946866,0,1,1,1,0
0.997884,0.99384415,0,1,1,1,0
0.99802667,0.9958333,1,1,1,1,1
0.99143434,0.96839464,0,0,0,0,0
0.64829797,0.9951886,0,0,0,0,0
0.9965745,0.96552414,1,1,1,1,1
0.99549353,0.98847187,1,1,1,1,1
0.5719201,0.9978654,0,1,1,1,0
0.9982687,0.98545516,0,0,0,0,0
0.99560225,0.9958049,1,1,1,1,1
0.99723476,0.99072015,0,1,1,1,0
0.9923983,0.99509346,1,1,1,1,1
0.9610222,0.9909244,1,1,1,1,1
0.99891233,0.9245673,0,1,1,0,0
0.9982468,0.9980757,0,1,1,0,0
0.9990589,0.9922651,1,1,1,1,1
0.99794,0.9979609,0,1,1,1,0
0.9964838,0.9828346,0,0,0,0,0
