日本語	S	答え	品詞
デイビットがあまりにも申し訳なさそうにしていたので、彼女は彼を許してあげた。	David looked so sorry that she replaced him.	David looked so sorry that she forgave him.	動詞
デイビットがあまりにも申し訳なさそうにしていたので、彼女は彼を許してあげた。	David looked so sorry that she inspired him.	David looked so sorry that she forgave him.	動詞
そのジャズ歌手の自叙伝は、彼の辛く貧乏な学生時代に全ページの半分を割いている。	The jazz singer’s signature devotes half of its pages to his hard and penniless school days.	The jazz singer’s autobiography devotes half of its pages to his hard and penniless school days.	名詞
そのジャズ歌手の自叙伝は、彼の辛く貧乏な学生時代に全ページの半分を割いている。	The jazz singer’s biology devotes half of its pages to his hard and penniless school days.	The jazz singer’s autobiography devotes half of its pages to his hard and penniless school days.	名詞
そのジャズ歌手の自叙伝は、彼の辛く貧乏な学生時代に全ページの半分を割いている。	The jazz singer’s portrait devotes half of its pages to his hard and penniless school days.	The jazz singer’s autobiography devotes half of its pages to his hard and penniless school days.	名詞
新しい手袋を1組買ったらどうですか。	I intend you get her a new pair of gloves.	I suggest you get her a new pair of gloves.	動詞
新しい手袋を1組買ったらどうですか。	I regret you get her a new pair of gloves.	I suggest you get her a new pair of gloves.	動詞
新しい手袋を1組買ったらどうですか。	I explain you get her a new pair of gloves.	I suggest you get her a new pair of gloves.	動詞
もっと正確にタイプしないといけないね。	You have to type more neatly.	You have to type more accurately.	副詞
もっと正確にタイプしないといけないね。	You have to type more rapidly.	You have to type more accurately.	副詞
もっと正確にタイプしないといけないね。	You have to type more impressively.	You have to type more accurately.	副詞
駅で利用できるタクシーが一台も無かった。	There weren’t any taxis useful at the station.	There weren’t any taxis available at the station.	形容詞
駅で利用できるタクシーが一台も無かった。	There weren’t any taxis convenient at the station.	There weren’t any taxis available at the station.	形容詞
駅で利用できるタクシーが一台も無かった。	There weren’t any taxis flexible at the station.	There weren’t any taxis available at the station.	形容詞
メディアに関して重要なことは、情報の正確さと、伝達のスピードである。	The important things about media are the exception of information and the speed of communication.	The important things about media are the accuracy of information and the speed of communication.	動詞
メディアに関して重要なことは、情報の正確さと、伝達のスピードである。	The important things about media are the consumption of information and the speed of communication.	The important things about media are the accuracy of information and the speed of communication.	動詞
メディアに関して重要なことは、情報の正確さと、伝達のスピードである。	The important things about media are the delivery of information and the speed of communication.	The important things about media are the accuracy of information and the speed of communication.	動詞
