S,T,L
They will build new homes next year.,they are going to build a new house next year.,entail
There is no future plan.,I don't have any plans for my shape yet.,contradiction
There is no future plan.,I don't have any plans for my energy yet.,contradiction
There is no future plan.,I don't have any plans for my culture yet.,contradiction
There is no future plan.,I don't have any plans for my yet.,contradiction
There is no future plan.,I don't have any plans for my future yet.,entail
October is the 12th month of one year.,July is the tenth month of the year.,contradiction
October is the 12th month of one year.,August is the tenth month of the year.,contradiction
October is the 12th month of one year.,September is the tenth month of the year.,contradiction
October is the 12th month of one year.,is the tenth month of the year.,contradiction
October is the 12th month of one year.,October is the tenth month of the year.,entail
I use this dictionary at home.,I know this dictionary at home.,contradiction
I use this dictionary at home.,I cook this dictionary at home.,contradiction
I use this dictionary at home.,I stop this dictionary at home.,contradiction
I use this dictionary at home.,I this dictionary at home.,contradiction
I use this dictionary at home.,I use this dictionary at home.,entail
Rogers have great love in their cats.,Roger feels great religion for his cat.,contradiction
Rogers have great love in their cats.,Roger feels great wisdom for his cat.,contradiction
Rogers have great love in their cats.,Roger feels great justice for his cat.,contradiction
Rogers have great love in their cats.,Roger feels great for his cat.,contradiction
Rogers have great love in their cats.,Roger feels great affection for his cat.,entail
"Dance show auditions, students had to play individually individually.","At the audition for the dance show, the students first had to perform financially.",contradiction
"Dance show auditions, students had to play individually individually.","At the audition for the dance show, the students first had to perform legally.",contradiction
"Dance show auditions, students had to play individually individually.","At the audition for the dance show, the students first had to perform magnetically.",contradiction
"Dance show auditions, students had to play individually individually.","At the audition for the dance show, the students first had to perform.",contradiction
"Dance show auditions, students had to play individually individually.","At the audition for the dance show, the students first had to perform individually.",entail
Maybe she wants to go to dating with you.,Maybe she is sacrificing that she wants to go on a date with you.,contradiction
Maybe she wants to go to dating with you.,Maybe she is encountering that she wants to go on a date with you.,contradiction
Maybe she wants to go to dating with you.,Maybe she is forbidding that she wants to go on a date with you.,contradiction
Maybe she wants to go to dating with you.,Maybe she is that she wants to go on a date with you.,contradiction
Maybe she wants to go to dating with you.,Maybe she is implying that she wants to go on a date with you.,entail
That ticket vending machine is broken.,That machine is out of shape.,contradiction
That ticket vending machine is broken.,That machine is out of sight.,contradiction
That ticket vending machine is broken.,That machine is out of business.,contradiction
That ticket vending machine is broken.,That machine is out of.,contradiction
That ticket vending machine is broken.,That machine is out of order.,entail
A necklace stolen from a jewelry store was very expensive.,The necklace that was stolen from the jewelry store was very innocent.,contradiction
A necklace stolen from a jewelry store was very expensive.,The necklace that was stolen from the jewelry store was very privates.,contradiction
A necklace stolen from a jewelry store was very expensive.,The necklace that was stolen from the jewelry store was very familiar.,contradiction
A necklace stolen from a jewelry store was very expensive.,The necklace that was stolen from the jewelry store was very.,contradiction
A necklace stolen from a jewelry store was very expensive.,The necklace that was stolen from the jewelry store was very valuable.,entail
I love geography.,I really like chemistry.,contradiction
I love geography.,I really like literature.,contradiction
I love geography.,I really like economics.,contradiction
I love geography.,I really like.,contradiction
I love geography.,I really like geography.,entail
Jennifer examined to move to a new apartment in the city.,Jennifer released moving to a new apartment in the city.,contradiction
Jennifer examined to move to a new apartment in the city.,Jennifer solved moving to a new apartment in the city.,contradiction
Jennifer examined to move to a new apartment in the city.,Jennifer promoted moving to a new apartment in the city.,contradiction
Jennifer examined to move to a new apartment in the city.,Jennifer moving to a new apartment in the city.,contradiction
Jennifer examined to move to a new apartment in the city.,Jennifer considered moving to a new apartment in the city.,entail
Let's draw a map.,I’ll watch a map for you.,contradiction
Let's draw a map.,I'll cook a map for you.,contradiction
Let's draw a map.,I'll play a map for you.,contradiction
Let's draw a map.,I'll a map for you.,contradiction
Let's draw a map.,I’ll draw a map for you.,entail
I will stay at New York hotel for a week.,I’m going to give at a hotel in New York for a week.,contradiction
I will stay at New York hotel for a week.,I’m going to take at a hotel in New York for a week.,contradiction
I will stay at New York hotel for a week.,I’m going to catch at a hotel in New York for a week.,contradiction
I will stay at New York hotel for a week.,I’m going to at a hotel in New York for a week.,contradiction
I will stay at New York hotel for a week.,I’m going to stay at a hotel in New York for a week.,entail
Volleyball games began at 9 o'clock.,The volleyball game met at 9:00.,contradiction
Volleyball games began at 9 o'clock.,The volleyball game visited at 9:00.,contradiction
Volleyball games began at 9 o'clock.,The volleyball game went at 9:00.,contradiction
Volleyball games began at 9 o'clock.,The volleyball game at 9:00.,contradiction
Volleyball games began at 9 o'clock.,he volleyball game began at 9:00.,entail
This box is too heavy.,This box is too slow.,contradiction
This box is too heavy.,This box is too hungry.,contradiction
This box is too heavy.,This box is too sleepy.,contradiction
This box is too heavy.,This box is too.,contradiction
This box is too heavy.,This box is too heavy.,entail
I was very tired yesterday so I slept early.,"I was very rich yesterday, so I went to bed early.",contradiction
I was very tired yesterday so I slept early.,"I was very quiet yesterday, so I went to bed early.",contradiction
I was very tired yesterday so I slept early.,"I was very sharply yesterday, so I went to bed early.",contradiction
I was very tired yesterday so I slept early.,"I was very yesterday, so I went to bed early.",contradiction
I was very tired yesterday so I slept early.,"I was very tired yesterday, so I went to bed early.",entail
What is your favorite season?,What’s your kind season.,contradiction
What is your favorite season?,What’s your careful season.,contradiction
What is your favorite season?,What’s your strong season.,contradiction
What is your favorite season?,What’s your season.,contradiction
What is your favorite season?,What’s your favorite season.,entail
I would like to go again next year.,I want to go away next year.,contradiction
I would like to go again next year.,I want to go ago next year.,contradiction
I would like to go again next year.,I want to go out next year.,contradiction
I would like to go again next year.,I want to go next year.,contradiction
I would like to go again next year.,I want to go again next year.,entail
Nancy is good at tennis.,Nancy is nice at playing tennis.,contradiction
Nancy is good at tennis.,Nancy is difficult at playing tennis.,contradiction
Nancy is good at tennis.,Nancy is well at playing tennis.,contradiction
Nancy is good at tennis.,Nancy is at playing tennis.,contradiction
Nancy is good at tennis.,Nancy is good at playing tennis.,entail
Bring an umbrella.,Take your village with you.,contradiction
Bring an umbrella.,Take your festival with you.,contradiction
Bring an umbrella.,Take your health with you.,contradiction
Bring an umbrella.,Take your with you.,contradiction
Bring an umbrella.,Take your umbrella with you.,entail
He wants to be a pianist in the future.,He wants to be a pianist in the breakfast.,contradiction
He wants to be a pianist in the future.,He wants to be a pianist in the weather.,contradiction
He wants to be a pianist in the future.,He wants to be a pianist in the holiday.,contradiction
He wants to be a pianist in the future.,He wants to be a pianist in the.,contradiction
He wants to be a pianist in the future.,He wants to be a pianist in the future.,entail
Tonight you can see a lot of beautiful stars in the sky.,I can see many beautiful stars in the wall tonight.,contradiction
Tonight you can see a lot of beautiful stars in the sky.,I can see many beautiful stars in the river tonight.,contradiction
Tonight you can see a lot of beautiful stars in the sky.,I can see many beautiful stars in the kitchen tonight.,contradiction
Tonight you can see a lot of beautiful stars in the sky.,I can see many beautiful stars in the tonight.,contradiction
Tonight you can see a lot of beautiful stars in the sky.,I can see many beautiful stars in the sky tonight.,entail
She forgive him because Davit was too sonish.,David looked so sorry that she prevented him.,contradiction
She forgive him because Davit was too sonish.,David looked so sorry that she replaced him.,contradiction
She forgive him because Davit was too sonish.,David looked so sorry that she inspired him.,contradiction
She forgive him because Davit was too sonish.,David looked so sorry that she him.,contradiction
She forgive him because Davit was too sonish.,David looked so sorry that she forgave him.,entail
The jazz singer's autobiography has been divided half of all pages in his hard and poor school days.,The jazz singer’s signature devotes half of its pages to his hard and penniless school days.,contradiction
The jazz singer's autobiography has been divided half of all pages in his hard and poor school days.,The jazz singer’s biology devotes half of its pages to his hard and penniless school days.,contradiction
The jazz singer's autobiography has been divided half of all pages in his hard and poor school days.,The jazz singer’s portrait devotes half of its pages to his hard and penniless school days.,contradiction
The jazz singer's autobiography has been divided half of all pages in his hard and poor school days.,The jazz singer’s devotes half of its pages to his hard and penniless school days.,contradiction
The jazz singer's autobiography has been divided half of all pages in his hard and poor school days.,The jazz singer’s autobiography devotes half of its pages to his hard and penniless school days.,entail
What if I bought a new glove.,I intend you get her a new pair of gloves.,contradiction
What if I bought a new glove.,I regret you get her a new pair of gloves.,contradiction
What if I bought a new glove.,I explain you get her a new pair of gloves.,contradiction
What if I bought a new glove.,I you get her a new pair of gloves.,contradiction
What if I bought a new glove.,I suggest you get her a new pair of gloves.,entail
You have to type more accurately.,You have to type more neatly.,contradiction
You have to type more accurately.,You have to type more rapidly.,contradiction
You have to type more accurately.,You have to type more impressively.,contradiction
You have to type more accurately.,You have to type more.,contradiction
You have to type more accurately.,You have to type more accurately.,entail
There were no taxis available at the station.,There weren’t any taxis useful at the station.,contradiction
There were no taxis available at the station.,There weren’t any taxis convenient at the station.,contradiction
There were no taxis available at the station.,There weren’t any taxis flexible at the station.,contradiction
There were no taxis available at the station.,There weren’t any taxis at the station.,contradiction
There were no taxis available at the station.,There weren’t any taxis available at the station.,entail
An important thing with the media is the accuracy of the information and the speed of transmission.,The important things about media are the exception of information and the speed of communication.,contradiction
An important thing with the media is the accuracy of the information and the speed of transmission.,The important things about media are the consumption of information and the speed of communication.,contradiction
An important thing with the media is the accuracy of the information and the speed of transmission.,The important things about media are the delivery of information and the speed of communication.,contradiction
An important thing with the media is the accuracy of the information and the speed of transmission.,The important things about media are the of information and the speed of communication.,contradiction
An important thing with the media is the accuracy of the information and the speed of transmission.,The important things about media are the accuracy of information and the speed of communication.,entail
What size do you wear?,What size are you wearing?,entail
Why do we study foreign languages?,Why Do We Study Foreign Languages?,entail
My aunt in Kyoto sent me a letter.,My aunt in Kyoto wrote me a letter.,entail
There are a lot of dictionaries in the library.,There are many dictionaries in the library.,entail
That white house on the hill is mine.,That white house on the hill is my house.,entail
My father looked angry.,Your father seemed to be angry.,entail
We asked our teacher a lot of questions.,We asked the teacher a lot of questions.,entail
Let's go home because it has got dark.,"It's getting dark, let's go home.",entail
She always keeps her room clean.,She always keeps her room clean.,entail
Did you find the film interesting?,Did you think the movie was interesting?,entail
Will you tell me the way to the post office?,Can you tell me the way to the post office?,entail
"He couldn't sleep for several days, so he became sick.","After many days of sleeplessness, he became ill.",entail
"She keeps mice, but she keeps it secret.","She has a house mouse, but she keeps it a secret.",entail
My father went for a walk in the park.,My father went out for a walk in the park.,entail
Please don't touch the books on my desk.,Don't touch the books on the desk.,entail
Please tell me where you bought that.,Tell me where you bought it.,entail
The girl who is playing the piano is my sister.,The girl who is playing the piano is my sister.,entail
Did you know that there are plans to build a new school here?,Do you know there is a plan to build a new school here?,entail
"Did he go to school yesterday? Yes, he did.","Did he go to school yesterday? Yes, he did.",entail
Didn't he go to school the day before yesterday?,Didn't he go to school the day before yesterday?",entail
Have I met you before?,"I saw you somewhere, didn't I?",entail
"Don't make any noise, the baby is sleeping.","Don't be noisy. Because the baby is sleeping.",entail
"Who broke that window? It was Yamada-kun.","Who broke that window? Yamada did.",entail
"How heavy this desk is! I can't move it.","How heavy this desk is! I can't move it.",entail
Let me take your picture.,Please let me take your picture.,entail
Did your brother go to England or America?,Did your brother go to England or to the United States?,entail
"Walk fast, and you'll catch the next bus.","Walk fast, and you'll be able to catch the next bus.",entail
"It was raining heavily, so I couldn't go outside.",I couldn't go out because it rained heavily.,entail
That store sells men's shoes.,They sell men's shoes at that shop.,entail
There was a fire near my house last night.,A fire broke out near my house last night.,entail
The bakery is a five-minute walk from my house.,"The baker's is five minutes' walk from my house.",entail
That's the man who wanted to see you.,That is the man who wanted to see you.,entail
"In March, it gets warmer and warmer every day.","When March comes, it gets warmer day by day.",entail
The Alps are the most famous mountain range in the world.,The Alps are the most famous mountain range in the world.,entail
How many times a day do you have to take that medicine?,How many times a day do you have to take the medicine?,entail
What language do you speak in Australia?,What language do they speak in Australia?,entail
"It's raining, but it will clear up soon.","It is raining now, but it will clear up soon.",entail
It's not easy to read that book in one day.,It is not easy to read through the book in a day.,entail
I haven't read any of his novels.,I have read none of his novels.,entail
Would you like another cup of coffee?,Won't you have another cup of coffee?,entail
I don't like these shoes. Let me see some of your others.,I don't like these shoes. Show me some others.,entail
I didn't buy either of her records.,I bought neither of her records.,entail
Japan exports good cars to many countries.,Japan exports good cars to many countries.,entail
I was taking a shower when the phone rang.,I was taking a shower when the telephone rang.,entail
My mother has gone out shopping.,Mother has gone out shopping.,entail
"He closed his book, put on his jacket and left.","He closed his book, put on his coat and went out.",entail
Where were you when the thief entered your house?,Where were you when the thieves broke into the house?,entail
How many students are there in your school?,How many students are there in your school?,entail
There is little hope of his recovery.,There is little hope of his recovery.,entail
I didn't have enough money to buy that racket.,I did not have enough money to buy the racket.,entail
Thank you very much for saying so.,I did not have enough money to buy the racket.,entail
Thousands of young people took part in that parade.,Thousands of young people took part in the parade.,entail
She was holding two tiny red roses in her hand.,She had two small red roses in her hand.,entail
I'm not much of a coffee drinker.,I don't drink much coffee.,entail
The Olympic Games are held every four years.,The Olympic Games are held every four years.,entail
There's something wrong with this computer.,There's something wrong with this computer,entail
I am always so busy that I rarely find time to relax.,I am always busy and I can seldom find time to relax.,entail
How long are you planning to stay here?,How long are you going to stay here?,entail
I saw that movie last Saturday night.,I saw the film on Saturday evening last week.,entail
I haven't heard from him recently.,I haven't heard from him lately.,entail
Please wait for me at the bus stop.,Wait for me at the bus stop.,entail
He threw the picture into the wastepaper basket.,He threw the picture into the waste basket.,entail
I saw a stranger running away from the house.,I saw a stranger run out of the house.,entail
"He drove on the highway, crossed the river, and went through the tunnel.","He drove along the freeway, across the river, and through the tunnel.",entail
I'll be in this office until noon.,I'll be in this office by noon.,entail
I'll be back in a couple of weeks.,I'll come back in a couple of weeks' time.,entail
"I will finish that job within a week, he said.","He said he would finish the job within a week.",entail
Are you for or against this plan?,Are you for or against this plan?,entail
I bought this watch for two hundred dollars.,I bought this watch for 200 dollars.,entail
"In Japan, skiing is popular among young people.",Here in Japan skiing is popular with young people.,entail
The American lived in Japan from 1960 to 1975.,The American lived in Japan from 1960 till 1975.,entail
She is neither too tall nor too short.,She is neither too tall nor too short.,entail
I'm not sure if she knows it or not.,I'm not sure whether she knows it or not.,entail
"Whenever you come to Kyoto, please come and visit us.",Come and see me whenever you come to Kyoto.,entail
I had to stay in bed because I caught a cold.,"I had a cold, so that I had to stay in bed.",entail
You'd better go out before it starts pouring.,You had better start before it begins to rain.,entail
"Well, he did his best, but he was careless.","It is true that he did his best, but he was careless.",entail
"Even if I said so, no one would believe me.","Even if I say so, no one will believe me.",entail
The earth revolves around the sun.,The earth goes round the sun.,entail
My father reads the newspaper every day before breakfast.,My father reads the newspaper before breakfast every day.,entail
"If it rains tomorrow, we'll stay home.","If it rains tomorrow, we will stay at home.",entail
I'll tell him that when he comes.,I will tell him so when he comes.,entail
How old will you be on your next birthday? I'll be sixteen.,How old will you be on your next birthday? I will be sixteen.,entail
Will you take me to the museum?,Will you take me to the museum?,entail
Who should I invite to the party?,Who shall we invite to the party?,entail
What are you going to be when you graduate from high school?,What are you going to be when you graduate from high school?,entail
Hanako doesn't want to come out of her room.,Hanako won't come out of her room.,entail
That teacher is always scolding her students.,"That teacher is always scolding his students.",entail
Who are you waiting for? I'm not waiting for anyone.,Who are you waiting for? I'm not waiting for anyone.,entail
My friend from the U.S. will be arriving at Kyoto Station at 4:00 p.m. on Saturday.,An American friend is arriving at Kyoto Station at 4 p.m. next Saturday.,entail
My brother is taking a bath. Please call me again in half an hour.,My brother is having a bath now. Please call again in half an hour.,entail
What club are you in? I'm in the choir club (the Glee Club).,What club do you belong to? I belong to the Glee Club.,entail
The two of us love each other.,The two love each other.,entail
What were you doing this time yesterday? I was taking a walk along the river bank.,What were you doing about this time yesterday? I was walking along the bank of the river.,entail
What will you be doing tomorrow around 7:00 a.m.? I will probably be watching TV with the house.,What will you be doing at about seven tomorrow evening? Probably I will be watching TV with my family.,entail
"Have you written a letter yet? Yes, I have.","Have you written the letter yet? Yes, I have already written it.",entail
Where did you go? I just went to the station.,Where have you been? I have just been to the station.,entail
"Is your mother there? No, she has gone shopping.",Is your mother at home? No. She has gone shopping.,entail
"Have you had lunch yet? Yes, about half an hour ago.","Have you finished lunch yet? Yes, I finished about half an hour ago.",entail
"Have you ever been abroad before? No, never.","Have you ever been abroad? No, I have never been abroad.",entail
I have lived in this town since I was born.,"I have lived in this town since I was born.",entail
What have you been doing?,"What have you been doing all this time?",entail
It's been five years since we last met.,"How long is it since I saw you last? It's about five years.",entail
I went to Matsue this past Sunday. I'd been there before with my aunt.,"I went to Matsue last Sunday. I had been there with my aunt before.",entail
My friend found my lost season ticket.,"A friend of mine found the season ticket I had lost.",entail
"Two hours before my father left, I was studying.","I had been studying for two hours when my father came back.",entail
"By the time I met her again, she was already married.",She had already got married when I met her again.,entail
"Do you know the saying, 'Like a shadow of an arrow'?",Do you know the proverb "Time flies like an arrow"?,entail
"If it rains tomorrow, an athletic meeting will be postponed to the 25th.","If it rains tomorrow, the athletic meeting will be put off till the 25th of this month.",entail
"His illness is serious, and we don't know when he will recover.","He is seriously ill. I don't know when he will get well again.",entail
"When I entered his room, he was dozing off at his desk.","When I went into his room, I found him having a nap at the desk.",entail
"I went to Horyuji Temple the other day, but I had never been there before.","I went to Horyu-ji Temple the other day. I had never visited the temple before.",entail
I used to stay up late a lot when I was a student.,I would often stay up late at night when I was a student.,entail
"May I use this tape recorder? No, you may not.","May I use this tape recorder? No, you may not.",entail
You should have told your teacher the truth.,You should have told the truth to the teacher.,entail
You must be tired. Please sit down in this chair.,"You must be tired. Please sit down on this chair.",entail
We have to hurry so that we don't miss the bus.,"Hurry so that you may not miss the bus.",entail
You don't have to speak so loudly.,You don't have to talk so loudly.,entail
I'd like to meet you at the coffee shop.,I'd like to meet you at the coffee shop.,entail
What languages are spoken in Switzerland?,What language is spoken in Switzerland?,entail
I sell vegetables in that store.,They sell vegetables at that store.,entail
I was asked by a friend to give this letter to the woman.,I was asked by a friend of mine to hand this letter to the woman.,entail
I asked my teacher to revise my essay.,I had my composition corrected by the teacher.


