解答文,正答文
"Thanks to the strong yen, it has become possible to travel abroad cheaply in these days.","Thanks to the strong yen, we can travel abroad for less money these days."
"Recently,someone can go abroad to expensive yen.","Thanks to the strong yen, we can travel abroad for less money these days."
"Please help me to carry this box.","Could you give me a hand with this box?"
"Could you help me carry yhis box.","Could you give me a hand with this box?"
"Could you give me a hand to bring this box.","Could you give me a hand with this box?"
"Could you please help us to bring this box ?","Could you give me a hand with this box?"
"please help me to carrying the box.","Could you give me a hand with this box?"
"When I was shopping ,I met old friend,Jim.","I was shopping I ran into Jim, an old friend of mine."
"While I went shopping at that store, Imet an old friend,Jim.","I was shopping I ran into Jim, an old friend of mine."
"I was shopping at that store, I met old friend Jim.","I was shopping I ran into Jim, an old friend of mine."
"I met Jim who is my old friend, when I bought someone in it's store.","I was shopping I ran into Jim, an old friend of mine."
"When I was shopping this store,I met Jim of old friend.","I was shopping I ran into Jim, an old friend of mine."
"Fire men came at burns place 30 minuts later.","The fire brigade arrived 30 minutes after the fire broke out."
"Firefighters arrived 30 minutes after the fire accident broke out.","The fire brigade arrived 30 minutes after the fire broke out."
"The firefighters arrived after the fire got started.","The fire brigade arrived 30 minutes after the fire broke out."
"Firemen reached 30 minitues after the fire happened.","The fire brigade arrived 30 minutes after the fire broke out."
"it have arrived at 30 minutes later since causing  fire.","The fire brigade arrived 30 minutes after the fire broke out."
"Mr.White worked hard to feed his four family.","Mr. White worked hard to support a family of four."
"Mr. White worked hard in order to taking care of his family of 4.","Mr. White worked hard to support a family of four."
"Mr,White worked hardly to feed his family of 4.","Mr. White worked hard to support a family of four."
"White-san worked hard to support his family of four.","Mr. White worked hard to support a family of four."
"Mr,white worked hard to grow four person family.","Mr. White worked hard to support a family of four."
"I walked softly so that the baby wouldn't wake up.","I crept around so as not to wake up the baby."
"I walked slowly not to wake up baby.","I crept around so as not to wake up the baby."
"I walked slowly to not wake the baby up.","I crept around so as not to wake up the baby."
"I walked quietly not to awake the baby.","I crept around so as not to wake up the baby."
"I walked quietly so that the baby wouldn't wake up.","I crept around so as not to wake up the baby."
"This song make me remember to presious memory when we had stayed N.Y.","When I hear this song, I’m always reminded of the days when we lived in New York."
"When I was listen to the music, I recognized the days in New York.","When I hear this song, I’m always reminded of the days when we lived in New York."
"This song always reminds me of the day we epend in New York.","When I hear this song, I’m always reminded of the days when we lived in New York."
"Whenever I hear this song, which reminds me the days we spend in New York.","When I hear this song, I’m always reminded of the days when we lived in New York."
"Whenever I hear this song, I remember the days I spent in New York.","When I hear this song, I’m always reminded of the days when we lived in New York."
"It is strang that no tenderlling own home.","Most people love their hometown."
"There is rarely noone who doesn't have even a little love towards their own hometown.","Most people love their hometown."
"Hardly ever don't feel emotions  own town.","Most people love their hometown."
"Few people feel no affection for their hometown.","Most people love their hometown."
"It is rare person that one's hometown do not feel in love.","Most people love their hometown."
"If you want to pass exam of uni, you should be sutdy hard.","Whether you pass the university entrance exam or not will depend on how much work you "do over the coming year.
"It depends on the amount of study you do in the next one year whether you pass the exam of college.","Whether you pass the university entrance exam or not will depend on how much work you "do over the coming year.
"Whether you pass the entrance exam for the university or not will be up to how mucu you study hard next one year.","Whether you pass the university entrance exam or not will depend on how much work you "do over the coming year.
"Whether you pass the test for univercity depends on your amount of study over the next year.","Whether you pass the university entrance exam or not will depend on how much work you "do over the coming year.
"you do amount of the studying whether to pass university.","Whether you pass the university entrance exam or not will depend on how much work you "do over the coming year.
"Washing your hands carefully is the best way to stop the spread of germs.","The best way to prevent the spread of germs is to wash your hands thoroughly."
"to wash hands politely is the best way to stop movement of bacteria.","The best way to prevent the spread of germs is to wash your hands thoroughly."
"Washing hands cleanly is the best way to prevent to not spread virus.","The best way to prevent the spread of germs is to wash your hands thoroughly."
"Washing your hands neatly is the best way to curb the spreading of germs.","The best way to prevent the spread of germs is to wash your hands thoroughly."
"It is the best way to wash hands many times in order to avoid spreading the virus.","The best way to prevent the spread of germs is to wash your hands thoroughly."
"Cheap sales are not in the interest of all consumers.","Not all bargains mean saving for the consumers."
"To sale is not necessary benefit of all customer.","Not all bargains mean saving for the consumers."
"Not all consumers think that cheap sales will be benefit.","Not all bargains mean saving for the consumers."
"Bargains are not customers.","Not all bargains mean saving for the consumers."
"The cheep does not always lead to consumer's benefit.","Not all bargains mean saving for the consumers."
"No beautiful even mothers love child.","Nothing is as beautiful as a mother’s love for her children."
"There is nothing more beautiful than a mother's love for her child.","Nothing is as beautiful as a mother’s love for her children."
"Nothing is more beautiful than a mother's love for her child.","Nothing is as beautiful as a mother’s love for her children."
"There is no beautiful thing rather than lovely passion to child from mother.","Nothing is as beautiful as a mother’s love for her children."
"No other beautiful thing love  mother to son.","Nothing is as beautiful as a mother’s love for her children."
"There is USA army in Okinawa even other pri in Japan.","Nowhere in Japan are there as many U.S. military bases as in Okinawa."
"Okinawa is only the place where so many American military bases placed in.","Nowhere in Japan are there as many U.S. military bases as in Okinawa."
"No other in Japan, Okinawa prefecture","Nowhere in Japan are there as many U.S. military bases as in Okinawa."
"No other prefecture in Japan has as many US military bases as Okinawa.","Nowhere in Japan are there as many U.S. military bases as in Okinawa."
"No other prefecture of Japan are a lot of American base in Okinawa.","Nowhere in Japan are there as many U.S. military bases as in Okinawa."
"I`ve ever find heavy taihoon first time.","This is the worst typhoon I’ve experienced."
"I never had such a terrible typhoon.","This is the worst typhoon I’ve experienced."
"It's been a first time for me to experience such a strong typhoon.","This is the worst typhoon I’ve experienced."
"A typhoon is for the first time in my life.","This is the worst typhoon I’ve experienced."
"For the first time in my life,it is terrible typhoon.","This is the worst typhoon I’ve experienced."
"Generally speaking,people become kind as the get older.","Generally speaking, the older people get, he more broad-minded they become."
"In general , Man his age","Generally speaking, the older people get, he more broad-minded they become."
"Generally speaking, the older people become, the more generous they become.","Generally speaking, the older people get, he more broad-minded they become."
"Generally speaking, people get generous as they get older.","Generally speaking, the older people get, he more broad-minded they become."
"In general, the more people become older, the more people become tolerable.","Generally speaking, the older people get, he more broad-minded they become."
"I came to home until 20 years.","I went back to my hometown for the first time in twenty years the other day."
"I went to hometown the other day for the first time in 20 years.","I went back to my hometown for the first time in twenty years the other day."
"I went home for the first time in 20years the other day.","I went back to my hometown for the first time in twenty years the other day."
"The other day I went home for the first time in 20 years.","I went back to my hometown for the first time in twenty years the other day."
"I have been to home last month since 20 years.","I went back to my hometown for the first time in twenty years the other day."
"Local people said it is rare in this fine weather.","The local people said that it was the most beautiful day for years."
"The local people said that it has been a long time since we have had such a good weather.","The local people said that it was the most beautiful day for years."
"Local persons said It's been a while such a beatiful weather we have.","The local people said that it was the most beautiful day for years."
"Local people said that there was no such sunny day for a long time.","The local people said that it was the most beautiful day for years."
"Person of this resion said it is very good weather.","The local people said that it was the most beautiful day for years."
"Cherry blossoms bloom around the end of March and bloom in early April ln this region.","In this area, the cherry blossoms come out around the end of March, and they are at th"eir best in early April.
"cherry blossom start blooming in march and become full in april in ～（の）area.","In this area, the cherry blossoms come out around the end of March, and they are at th"eir best in early April.
"In the area, the cherry blossoms bloom at the end of March and become full bloom in early April.","In this area, the cherry blossoms come out around the end of March, and they are at th"eir best in early April.
"In this area, cherry blossoms start to bloom in the end of March, and they are in full bloom in the beginning of April.","In this area, the cherry blossoms come out around the end of March, and they are at th"eir best in early April.
"The sakura start blooming at the end of March and it fully blooms at early of April.","In this area, the cherry blossoms come out around the end of March, and they are at th"eir best in early April.
"You are better to stay here for miniuts,it heavy rain outside.","It’s pouring down outside. I think it would be better to stay here a little longer."
"Because it rains heavily in ?, you better staying here for a while.","It’s pouring down outside. I think it would be better to stay here a little longer."
"Because of heavy rain, you should stay here for a while.","It’s pouring down outside. I think it would be better to stay here a little longer."
"It's raining terribly outside,so it is better for you to stay here for a a while.","It’s pouring down outside. I think it would be better to stay here a little longer."
"you had better be here because of heavy rain.","It’s pouring down outside. I think it would be better to stay here a little longer."
"I think weather is changing reacentlly.","These days the weather is changeable. "
"These days, climate frequently changes.","These days the weather is changeable. "
"Recently,the weather is so changeable.","These days the weather is changeable. "
"Recently, the weather changes easily.","These days the weather is changeable. "
"Recently,It tend to chenge the weather.","These days the weather is changeable. "
"It has been raining on and off for nearly two weeks since the rainy season began.","Since the rainy season set in, it has been raining off and on for nearly two weeks."
"Rain sometimes in this two weeks","Since the rainy season set in, it has been raining off and on for nearly two weeks."
"Since rainy season came, it rains repeatedly for two weeks.","Since the rainy season set in, it has been raining off and on for nearly two weeks."
"It rains and stop from enter the rainy season.","Since the rainy season set in, it has been raining off and on for nearly two weeks."
"After entering the Tsuyu, the rain is started or stopped many times for two weeks.","Since the rainy season set in, it has been raining off and on for nearly two weeks."
"Shall we go to take hikking to Okutama if good weather next Sunday?","How would you like to go hiking in Okutama next Sunday if the weather is nice."
"Why don't we go hiking if the weather is fine this Sunday.","How would you like to go hiking in Okutama next Sunday if the weather is nice."
"When it will be good weather, would you go hiking to Okutama next Sunday.","How would you like to go hiking in Okutama next Sunday if the weather is nice."
"May I go to the hiking in Okutama with you if the wether of the coming Sunnday is fine ?","How would you like to go hiking in Okutama next Sunday if the weather is nice."
"When shall we do hiking next summer,it will be sunny.","How would you like to go hiking in Okutama next Sunday if the weather is nice."
"Weather forecast says Typhoon will come near to Kyushu area in around midnighit tonight.","The weather repot says that the typhoon is going to hit the Kyusyu area around midnigh"t.
"According to forecast, the typhoon is approaching Kyushu-area around this midnight.","The weather repot says that the typhoon is going to hit the Kyusyu area around midnigh"t.
"According to the weather forecast, the tayhoon will reach the Kyushu-reagion aroud midnight.","The weather repot says that the typhoon is going to hit the Kyusyu area around midnigh"t.
"According to weather broadcast,typhoon is near resion in Kyusyu tonight.","The weather repot says that the typhoon is going to hit the Kyusyu area around midnigh"t.
"The weather report says that the typhoon will arrive to Kyushu areas around the midnight tonight.","The weather repot says that the typhoon is going to hit the Kyusyu area around midnigh"t.
"It Tokyo is better climet than my home country.","The climate in Tokyo is much milder than that in my hometown."
"The climate of Tokyo is much milder than that of my hometown.","The climate in Tokyo is much milder than that in my hometown."
"The climate in Tokyo is much milder than in my hometown.","The climate in Tokyo is much milder than that in my hometown."
"The climate in Tokyo is milder than that is in my hometown.","The climate in Tokyo is much milder than that in my hometown."
"The wether of Tokyo is more liveable than my local reagion.","The climate in Tokyo is much milder than that in my hometown."
"This winter,we have much more snow than usual.","We’ve had more snow than usual this winter."
"This winter has a lot of snow .","We’ve had more snow than usual this winter."
"It unprecedentedly snows a lot this year.","We’ve had more snow than usual this winter."
"There is more snow this year than usual.","We’ve had more snow than usual this winter."
"This winter there are a lot of snow rather than other year.","We’ve had more snow than usual this winter."
"It is heavy snow to become 20 years before.","This is the heaviest snowfall we’ve had for the past twenty years."
"It's been a 20 years since snowing such a lot.","This is the heaviest snowfall we’ve had for the past twenty years."
"The heaviest snowfall in recent 20 years.","This is the heaviest snowfall we’ve had for the past twenty years."
"Such large snow is the first time after the large snow twenty years ago.","This is the heaviest snowfall we’ve had for the past twenty years."
"It have been very snow since 20 years.","This is the heaviest snowfall we’ve had for the past twenty years."
"Because bus was late in 20minuites according to traffic jam.","The traffic was heavy, so my bus came twenty minutes late."
"The bus was 20 minutes late because the road was crowded.","The traffic was heavy, so my bus came twenty minutes late."
"Because of the heavy traffic, the bus was late 20 minites as it scheduled.","The traffic was heavy, so my bus came twenty minutes late."
"Because the bus was delayed for 20 minitues by the road traffic.","The traffic was heavy, so my bus came twenty minutes late."
"Because of crowding a way","The traffic was heavy, so my bus came twenty minutes late."
"I have never ever no  accident,even thought I have taking car 30 yarys.","I have been driving for almost thirty years, but fortunately I have never had an accid"ent.
"I have been driving a car almost for thirty years,but I have no car accidents fortunately.","I have been driving for almost thirty years, but fortunately I have never had an accid"ent.
"I fortunately haven't got a car accident for 30 years since I started driving a car.","I have been driving for almost thirty years, but fortunately I have never had an accid"ent.
"I have been driving almost 30years, fortunatery I have never had traffic accidents.","I have been driving for almost thirty years, but fortunately I have never had an accid"ent.
"I've been driving a car for almost 30 years, and fortunately I've never had an accident.","I have been driving for almost thirty years, but fortunately I have never had an accid"ent.
"I had shocked to see the nursery kid had bump of truck this trrafic jam this street.","I was shocked at how a small child was run over by a truck at this corner."
"I was shocked that I bumped into the accident which a track drove away a kindergarden student on the cross road in this street.","I was shocked at how a small child was run over by a truck at this corner."
"I was shocked I saw a Kindergarten  child was hit by the track the intersection of this street,","I was shocked at how a small child was run over by a truck at this corner."
"I was very shocked to see that the truck went over the child at the crossroad of this street.","I was shocked at how a small child was run over by a truck at this corner."
"I was shocked that younger child attacked by track closs road of the way .","I was shocked at how a small child was run over by a truck at this corner."
"It shoud make accident,if he were to ride on that train.","If he had been on the train, he would have been in the accident."
"If he had taken the train, he would have been involved in an accident.","If he had been on the train, he would have been in the accident."
"If he was on the train, he would have been in the accident.","If he had been on the train, he would have been in the accident."
"If he took the train he would got involved in an accident.","If he had been on the train, he would have been in the accident."
"If he ride the train, he might have been involved in the accident.","If he had been on the train, he would have been in the accident."
"It takes one day to go Osaka from Tokyo by car, but one hour by airplane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane".
"It takes a whole day from Tokyo to Osaka by car, but it takes an hour by airplane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane".
"It takes a day from Tokyo to Osaka by car, it takes an hour by plane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane".
"It takes a day to go to Tokyo from Osaka by car, but it takes an hour by airplane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane".
"it cosy a day Tokyo to Osaka by car but a minutes by train.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane".
"I stood all the time because bus and train was very clowed.","Both the train and the bus were jam-packed, so I had to stand all the way."
"The trains and buses were so crowded that I have to stand the whole time.","Both the train and the bus were jam-packed, so I had to stand all the way."
"Because both the train and the bus were crowded, I kept standing all the time.","Both the train and the bus were jam-packed, so I had to stand all the way."
"I stood for a long time because the train or the bus was very crowdy.","Both the train and the bus were jam-packed, so I had to stand all the way."
"I was standing all the time because train and bus crowded.","Both the train and the bus were jam-packed, so I had to stand all the way."
"I was so tired, when I arrived at the my destination place.","I was tired out by the time I got to my destination."
"I was tired when I arrived at destination.","I was tired out by the time I got to my destination."
"I was very tired when I arrived at my goal.","I was tired out by the time I got to my destination."
"When I arrived the destination, I was exhausted.","I was tired out by the time I got to my destination."
"I was very tired when I reached the objective place.","I was tired out by the time I got to my destination."
"I have know idea people`s thinking are valious that hobby as well.","Different people like different things. You can't tell what someone is interested in."
"People have different ideas. You don't know who has what hobby.","Different people like different things. You can't tell what someone is interested in."
"Everyone has different thoughts. We wouldn't know what hobbies people have.","Different people like different things. You can't tell what someone is interested in."
"People have different thought. It is not predictable that indivisulas have what kind of hobby.","Different people like different things. You can't tell what someone is interested in."
"A person is diffirent from thinking. I do not know who have a hobby.","Different people like different things. You can't tell what someone is interested in."
"I have having over 2 o`clock, to make me fever reading scorrer novel last night.","That detective story was so good I couldn't put it down until two this morning."
"I stayed up late until 2 a.m.last night, because I was so absorbed in that detective novel.","That detective story was so good I couldn't put it down until two this morning."
"I stayed away by 2 am because I was into the mistery novel last night.","That detective story was so good I couldn't put it down until two this morning."
"I was absorbed in reading detective novels so I was up till 2 am last night.","That detective story was so good I couldn't put it down until two this morning."
"Last night, I was crazy for the cetective novel, so I stayed up late until 2 am.","That detective story was so good I couldn't put it down until two this morning."
"No ambisious this nobel just mede to read even I have ever read books.","The novel I've just finished is the best one I've ever read."
"I've never been more impressed than the novels I've just read of all the books I've read.","The novel I've just finished is the best one I've ever read."
"This novel that I have just finished reading is the most impressive one among the others that I read so far.","The novel I've just finished is the best one I've ever read."
"I have never been impressed so much by all the books I had ever read than the novel I've just finished reading.","The novel I've just finished is the best one I've ever read."
"Among many books I have read, there is no impressive book rather than the novel which I have just finished reading.","The novel I've just finished is the best one I've ever read."
"To read book we must use imagination proactively.","If you want to get the most out of book, you have to make a conscious effor to stretch" your imagination.
"It is because reading books requires an aggresive imagination.","If you want to get the most out of book, you have to make a conscious effor to stretch" your imagination.
"Because you need to use your imagination when you read books.","If you want to get the most out of book, you have to make a conscious effor to stretch" your imagination.
"To read a book, you need to use your imagination activetly.","If you want to get the most out of book, you have to make a conscious effor to stretch" your imagination.
"To read a book must be imagine.","If you want to get the most out of book, you have to make a conscious effor to stretch" your imagination.
"We must not forget that reading is one of cultural heritage to teach the children.","We should bear in mind that reading is a part of our cultural heritage that we must ha"nd down to our children.
"We shouldn't forget that reading book is one of the cultural heritages that we have to take over to our children.","We should bear in mind that reading is a part of our cultural heritage that we must ha"nd down to our children.
"Don't forget reading books is part of cultural heritage we tell children.","We should bear in mind that reading is a part of our cultural heritage that we must ha"nd down to our children.
"We remember the reading book is the one of the culture heritage which we have to tell our children.","We should bear in mind that reading is a part of our cultural heritage that we must ha"nd down to our children.
"Reading a book","We should bear in mind that reading is a part of our cultural heritage that we must ha"nd down to our children.
"It is very dengerous driving car after drinking 2 bottles vwisky.","It would be dangerous to drink two bottles of whiskey and drive a car."
"It is dangerous to drive a car after you drink two bottles of whiskey.","It would be dangerous to drink two bottles of whiskey and drive a car."
"It is dangerous to drive a car after drinking two bottles of whisky.","It would be dangerous to drink two bottles of whiskey and drive a car."
"It is degerous to drive the car after drinking two bottles of the whiskey.","It would be dangerous to drink two bottles of whiskey and drive a car."
"It is danger to drive a car opening two wiskey bottles.","It would be dangerous to drink two bottles of whiskey and drive a car."
"Most Japanese high school students go to cram schools to prepare for college entrance exams.","Most Japanese high school students go to a cram school to prepare for college entrance" exams.
"Most of high school students in Japan go to Juku to prepare for entrance exam.","Most Japanese high school students go to a cram school to prepare for college entrance" exams.
"Many Japanese high school students go to cram school to prepare for university entrance exams.","Most Japanese high school students go to a cram school to prepare for college entrance" exams.
"Most Japanese high school students, they go to cram school to prepare for college entrance exam.","Most Japanese high school students go to a cram school to prepare for college entrance" exams.
"Most Japanese high school students go to cram schools to prepare for the university entrance exams.","Most Japanese high school students go to a cram school to prepare for college entrance" exams.
"I was asked next grandmother, Where are you going to? on the train.","An elderly woman sitting next to me on the train asked me where I was going."
"I was asked by a elderly woman sitting next seat in the train where I was going to.","An elderly woman sitting next to me on the train asked me where I was going."
"An old woman sitting next to me in a train, she asked me how far will yo go?","An elderly woman sitting next to me on the train asked me where I was going."
"I was asked where did you go by the old woman who sat down aside me.","An elderly woman sitting next to me on the train asked me where I was going."
"I was asked a old mother who I was sitted side by side a train,she said where do you going?","An elderly woman sitting next to me on the train asked me where I was going."
"It is noimpposibe to make big earthquork.","It is impossible to predict where and when there will be a major earthquake."
"It is unexpected that in where big earthquakes occur","It is impossible to predict where and when there will be a major earthquake."
"We don't know when and where the big earthquake will occur.","It is impossible to predict where and when there will be a major earthquake."
"It is not predicable when or where the earthquake occurs.","It is impossible to predict where and when there will be a major earthquake."
"It is not expect to cause a huge earthquick.","It is impossible to predict where and when there will be a major earthquake."
"I was worried about that even Tom has made job.","Tom insisted that everythig would be all right, but I couldn't help feeling worried."
