解答文,正答文,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
"I dicided when I graduate university  I will find a job overseas.","I've decided to look for a job abroad when I graduate from college.",0,1,1,0,0
"When I graduate university, I will look for a job abroad.","I've decided to look for a job abroad when I graduate from college.",0,1,1,1,0
"I decide to find a job when I will guraduate college.","I've decided to look for a job abroad when I graduate from college.",0,0,0,0,0
"When I was a teenager, I lived in Canada for three years because of my father's job.","I lived in Canada for three years when I was in my teens because my father was transfe"rred there.,1,1,1,1,1
"I have lived in Canada in teenager because of my father's work.","I lived in Canada for three years when I was in my teens because my father was transfe"rred there.,0,0,1,0,0
"When I was teenager, I had lived in Canada for three years due to my father's work.","I lived in Canada for three years when I was in my teens because my father was transfe"rred there.,1,1,1,1,1
"When I was a teenager, I had lived in Canada for three years with my father's job.","I lived in Canada for three years when I was in my teens because my father was transfe"rred there.,1,1,1,1,1
"When I was a teenager, I lived in Canada for three years because of my father's work.","I lived in Canada for three years when I was in my teens because my father was transfe"rred there.,1,1,1,1,1
"Because of internet, sales of personal computer is increasing in this several years.","The Internet is widely used, so sales of personal computers have been rapidly increasi"ng over the last few years. ,0,0,0,0,0
"In addition to the spread of the Internet, the sales of PC have been increasing rapidly in the past few years.","The Internet is widely used, so sales of personal computers have been rapidly increasi"ng over the last few years. ,1,1,1,1,1
"With the spread of the Internet, sales of computer have been increasing dramatically in the past few days.","The Internet is widely used, so sales of personal computers have been rapidly increasi"ng over the last few years. ,0,1,1,1,0
"In recent years, with the spread of the internet, sales of personal computers have increased rapidly.","The Internet is widely used, so sales of personal computers have been rapidly increasi"ng over the last few years. ,1,1,1,1,1
"Latest years, sales of a computer suddenly incline by spending of internet.","The Internet is widely used, so sales of personal computers have been rapidly increasi"ng over the last few years. ,0,0,1,0,0
"When I got on the train this morning, I couldn't find an empty seat.","When I got on the train this morning, I couldn't find an empty seat.",1,1,1,1,1
"When I take a train in this morning, I can't find vacant seat.","When I got on the train this morning, I couldn't find an empty seat.",0,1,1,1,0
"When I got on a train in this morning, I couldn't find an empty seat.","When I got on the train this morning, I couldn't find an empty seat.",0,1,1,1,0
"When I took the train this morning, I didn't find vacancy.","When I got on the train this morning, I couldn't find an empty seat.",0,1,1,1,0
"When I got on the train this morning, I couldn't find a vacant seat.","When I got on the train this morning, I couldn't find an empty seat.",1,1,1,1,1
"I don't wear glasses now, so I don't understand what that sign says.","I'm not wearing glasses now, so I can't make out what the sign says.",0,0,1,0,0
"I can't understand the sign because I don't wear eyeglass.","I'm not wearing glasses now, so I can't make out what the sign says.",0,0,1,0,0
"Because I don't have my glasses now, I don't know what the poster says.","I'm not wearing glasses now, so I can't make out what the sign says.",0,0,0,0,0
"As I don't wear glasses now, I can't read what's on the sign.","I'm not wearing glasses now, so I can't make out what the sign says.",0,0,1,0,0
"Now I'm not wearing my glasses, so I can not understand what the sign says.","I'm not wearing glasses now, so I can't make out what the sign says.",0,0,0,0,0
"Humans have the ability to express what they think, by five years to six years.","Humans learn to express what they think by the age of five or six.",1,1,1,1,1
"They have ability to express what they think in their age of 5 or 6.","Humans learn to express what they think by the age of five or six.",0,0,0,0,0
"All human-being acquires an ability to express what they think when 5 to 6 years old.","Humans learn to express what they think by the age of five or six.",1,1,1,1,1
"Humans are around 5～6years old, they have the ability to express what they think.","Humans learn to express what they think by the age of five or six.",1,1,1,1,1
"By the age of 5-6, humans will have the ability to express what they think.","Humans learn to express what they think by the age of five or six.",1,1,1,1,1
"I made it  for  your drawing  map.","Thanks to the map you drew me the other day, I managed to get here without getting los"t.,0,0,0,0,0
"Thanks to the map written the other day, I was able to come here.","Thanks to the map you drew me the other day, I managed to get here without getting los"t.,0,0,1,0,0
"Thanks to the map you wrote the other day, I could come here without getting lost.","Thanks to the map you drew me the other day, I managed to get here without getting los"t.,1,1,1,1,1
"Thanks to the map that you drew the other day, I could come here without hesitation.","Thanks to the map you drew me the other day, I managed to get here without getting los"t.,1,1,1,1,1
"I thanks to be drew a map,I could come here soon.","Thanks to the map you drew me the other day, I managed to get here without getting los"t.,0,0,0,0,0
"I can't recognize Bob because of change when I met him in the class.","Bob had changed a lot, so when I saw him at a class reunion, I dind't recognize him.",0,0,0,0,0
"Bob changed a lot, so I didn't recognize him when seeing him in the previous lesson.","Bob had changed a lot, so when I saw him at a class reunion, I dind't recognize him.",1,1,1,1,1
"When I met Bob last class reunion, he changed a lot so I didn't recognize him.","Bob had changed a lot, so when I saw him at a class reunion, I dind't recognize him.",0,0,1,0,0
"Bob was so different, I didn't realize him when I met him in the previous classroom.","Bob had changed a lot, so when I saw him at a class reunion, I dind't recognize him.",0,0,1,0,0
"I do not know Bob after classroom because he is very change.","Bob had changed a lot, so when I saw him at a class reunion, I dind't recognize him.",0,0,0,0,0
"I have studied mas until 4 o`clock,I am verry sllepy.","I stayed up till four last night preparing for the math lesson, so I feel very sleepy.",0,0,0,0,0
"I stayed up until 4 o'clock yesterday because I was busy preparing for math, so I'm very sleepy.","I stayed up till four last night preparing for the math lesson, so I feel very sleepy.",1,1,1,1,1
"I'm very sleepy because I stayed up until 4 o'clock to prepare math.","I stayed up till four last night preparing for the math lesson, so I feel very sleepy.",0,1,1,1,0
"As I prepared for the math class hard until 4 am, I'm very sleepy.","I stayed up till four last night preparing for the math lesson, so I feel very sleepy.",1,1,1,1,1
"I'm very sleepy because I had woken until 4 AM to do pre-study of math yesterday.","I stayed up till four last night preparing for the math lesson, so I feel very sleepy.",1,1,1,1,1
"I have nothing now even I already read nobel book yeasterday from librally.","I've finished reading the novel I borrowed from the library yesterday, so now I have n"othing to do.,0,0,0,0,0
"I finished reading the novel I borrowed from the library yesterday, so I have nothing to do now.","I've finished reading the novel I borrowed from the library yesterday, so now I have n"othing to do.,1,1,1,1,1
"As I finished reading a book borrowed from the library yesterday, I have nothing to do now.","I've finished reading the novel I borrowed from the library yesterday, so now I have n"othing to do.,1,1,1,1,1
"I finished reading the novel when I rent yesterday, I have nothing to do now.","I've finished reading the novel I borrowed from the library yesterday, so now I have n"othing to do.,0,0,1,0,0
"I've finished reading the novel that I borrowed from the liblary, so I have no things to do.","I've finished reading the novel I borrowed from the library yesterday, so now I have n"othing to do.,0,1,1,0,1
"Some of the students to use the library, as if they were in the coffee shop.","Some students coming to the library act as if they are in a coffee shop.",0,1,1,1,0
"There is a student who come to the library , behave in the coffee shop .","Some students coming to the library act as if they are in a coffee shop.",0,0,0,0,0
"There are some students coming to library, who behave as if being in a cafe.","Some students coming to the library act as if they are in a coffee shop.",0,1,1,1,0
"Some students coming to the library act like as if they are in a café.","Some students coming to the library act as if they are in a coffee shop.",0,1,1,1,0
"Some students who come to the library behave as like in tearoom.","Some students coming to the library act as if they are in a coffee shop.",0,1,1,1,0
"When I was a child, I used to wish my house had been a little bigger.","When I was a child, I often wished my house were a little larger.",1,1,1,1,1
"I wish I have a little wide house in childhood.","When I was a child, I often wished my house were a little larger.",1,1,1,1,1
"At the age of my childhood, I thought that it would be better if my house was a little bigger one.","When I was a child, I often wished my house were a little larger.",1,1,1,1,1
"When I was a child, I would have wished that my house were more spacious.","When I was a child, I often wished my house were a little larger.",0,0,1,0,0
"When I was a child, I often thought that if my house was big a little.","When I was a child, I often wished my house were a little larger.",1,1,1,1,1
"I want joying helping victims as vollunter.","I'd like to work as a volunteer helping victims of natural disasters, such as floods o"r earthquakes.,0,0,0,0,0
"I would like to do a volunteer for supporting people who are suffering from natural disaster, such as high tide or earthquake.","I'd like to work as a volunteer helping victims of natural disasters, such as floods o"r earthquakes.,0,0,0,0,0
"I want to act to help people      and earthquake.","I'd like to work as a volunteer helping victims of natural disasters, such as floods o"r earthquakes.,0,0,0,0,0
"I would like to work as a volunteer to help victims of floods and earthquakes.","I'd like to work as a volunteer helping victims of natural disasters, such as floods o"r earthquakes.,1,1,1,1,1
"I want to be bolantere helping","I'd like to work as a volunteer helping victims of natural disasters, such as floods o"r earthquakes.,0,0,0,0,0
"Though Tom has good drums , he doesn't allow to use others.","Tom has nice drums, and he never lets anyone else play them.",0,0,0,0,0
"Tom has a great drum, but he doesn't want anyone to use it.","Tom has nice drums, and he never lets anyone else play them.",0,0,1,0,0
"Tom has an excellent drum but he doesn't allow anyone to use it.","Tom has nice drums, and he never lets anyone else play them.",1,1,1,1,1
"Tom has fine drams but he does not allow anyone to use it.","Tom has nice drums, and he never lets anyone else play them.",0,1,1,1,0
"Tom have a excerent drum but he don't use anyone.","Tom has nice drums, and he never lets anyone else play them.",0,1,1,0,0
"I thought Tom said joking,after that he was thlious.","At first I thought Tom was joking, but later I realized he was serious.",0,0,0,0,0
"At first, I thought Tom told a joke, but later I found out he was serious.","At first I thought Tom was joking, but later I realized he was serious.",1,1,1,1,1
"At first, I thoght Tom said joke, but later I realized he was serious.","At first I thought Tom was joking, but later I realized he was serious.",0,1,1,0,1
"At first, I thought that he was joking, but I later I realized he was serious.","At first I thought Tom was joking, but later I realized he was serious.",1,1,1,1,1
"Firstly I supposed Tom said joke, but after that, I found out he was serious.","At first I thought Tom was joking, but later I realized he was serious.",0,0,1,0,0
"I had tyring to make Itary first time this Sunday,I could make dellisiou.","Last Sunday I tried making some Italian food for the first time, and it was delicious." ,0,0,0,0,0
"Last Sunday, I tried to cook Italian food for the first time in my life and it was very delicious.","Last Sunday I tried making some Italian food for the first time, and it was delicious." ,1,1,1,1,1
"Last sunday, I tried to cook Italian food for the first time in my life and I succeeded.","Last Sunday I tried making some Italian food for the first time, and it was delicious." ,0,0,0,0,0
"Last Sunday, I tried to cook Italian even for the first time though, those were quite tasty.","Last Sunday I tried making some Italian food for the first time, and it was delicious." ,1,1,1,1,1
"Last Sunndy, I tried to cook italian and it was the first time for me. It was very delisious.","Last Sunday I tried making some Italian food for the first time, and it was delicious." ,0,0,0,0,0
"I said to sorry to late to An,thought She was upset.","I apologized to Ann for being late, but she didn't forgive me.",0,0,0,0,0
"I apologized to Ann for being late, but she wouldn't forgive me.","I apologized to Ann for being late, but she didn't forgive me.",1,1,1,1,1
"Although I apologized to Ann about being late, she didn't forgive me.","I apologized to Ann for being late, but she didn't forgive me.",0,1,1,1,0
"I made an appologies for being late to Anne, but she didn't forgive me.","I apologized to Ann for being late, but she didn't forgive me.",0,1,1,0,1
"Anne did not allow me even though I appologized my delay.","I apologized to Ann for being late, but she didn't forgive me.",0,0,0,0,0
"Every day, I have no time to go to the movies because I am so busy to do household chores.","I'm so busy doing the housework every day that I have no time to see a movie.",0,0,0,0,0
"I don't have time to watch movie because I'm busy housework every day","I'm so busy doing the housework every day that I have no time to see a movie.",1,1,1,1,1
"I am so busy with house work everyday that I don't have the chance to go to the movies.","I'm so busy doing the housework every day that I have no time to see a movie.",0,1,1,0,1
"As I'm tied up with housechores everyday, I don't have time to go to see the movies.","I'm so busy doing the housework every day that I have no time to see a movie.",0,0,1,0,0
"There is no time to go to the theather because I'm very busy to work in my home.","I'm so busy doing the housework every day that I have no time to see a movie.",0,0,0,0,0
"This wood desk is too heavy to move to upstair by myself.","This wooden desk is too heavy for me to carry upstairs alone.",0,0,1,0,0
"This wood desk is heavy, so it is hard to carry up to second floor by myself.","This wooden desk is too heavy for me to carry upstairs alone.",0,0,0,0,0
"This wooden desk is so heavy that I can't bring it up to the second floor.","This wooden desk is too heavy for me to carry upstairs alone.",0,0,1,0,0
"I alone am not able to bring this table to 2nd floor because it is very heavy.","This wooden desk is too heavy for me to carry upstairs alone.",1,1,1,1,1
"The desk of wood do not carry by sesond floor only me because it is heavy.","This wooden desk is too heavy for me to carry upstairs alone.",0,1,1,0,1
"I had sad that met many japanese tourlisets during Eourope trip.","While traveling in Europe,I was disappointed that wherever I went, there were many Jap"anese tourists.,0,0,0,0,0
"During my trip to Europe, I felt bored because I met Japanese wherever I went.","While traveling in Europe,I was disappointed that wherever I went, there were many Jap"anese tourists.,0,0,1,0,0
"I was dassapointed during my trip to Europe, because I met many Japanese tourists everywhere I visited.","While traveling in Europe,I was disappointed that wherever I went, there were many Jap"anese tourists.,0,0,1,0,0
"During my trip in Europe, I felt bored of seeing many tourists from Japan wherever countries I visited.","While traveling in Europe,I was disappointed that wherever I went, there were many Jap"anese tourists.,0,0,1,0,0
"During my trip to Europe, I was bored because I met many Japanese tourists whenever I go.","While traveling in Europe,I was disappointed that wherever I went, there were many Jap"anese tourists.,0,0,0,0,0
"I was very happy to see my mother go to the office wearing the earrings that I gave to her.","I was very happy when I saw my mother going to work wearing the earrings I had bought "her.,1,1,1,1,1
"I was happy to see my mother to go to the office with earring I presented.","I was very happy when I saw my mother going to work wearing the earrings I had bought "her.,0,1,1,0,0
"I was happy to see my mother wearing the earings that I gave her when she went to work.","I was very happy when I saw my mother going to work wearing the earrings I had bought "her.,0,1,1,0,0
"I was very happy to see a my mother wear I gave her earrings go to work.","I was very happy when I saw my mother going to work wearing the earrings I had bought "her.,0,1,1,0,0
"I was very happy to see that mother putting ear rings which I presented went to the company.","I was very happy when I saw my mother going to work wearing the earrings I had bought "her.,1,1,1,1,1
"It is no understand that schools upply for studys only.","If you expect that schools only teach academic subjects, then this proves that you don"'t understand what schools are for.,0,0,0,0,0
"That you think school is a place where we only studyis evidence that you don't understand the role of school.","If you expect that schools only teach academic subjects, then this proves that you don"'t understand what schools are for.,0,1,1,0,1
"To regard the schools as the places where they teach you only subjects will proof that you don't understand the roles of schools.","If you expect that schools only teach academic subjects, then this proves that you don"'t understand what schools are for.,0,1,1,1,0
"It is the proof of misunderstanding the role of the school to think only teaching the study in school.","If you expect that schools only teach academic subjects, then this proves that you don"'t understand what schools are for.,0,0,0,0,0
"It is not proof that school teach only studying","If you expect that schools only teach academic subjects, then this proves that you don"'t understand what schools are for.,0,0,0,0,0
"Most of Japanese spend their time with work to live.","Most Japanese people spend most of their time working to live.",0,1,1,1,0
"Most Jaopanese people spended most of their time working to live.","Most Japanese people spend most of their time working to live.",0,0,0,0,0
"Most Japanese spend their large part of time to work to live.","Most Japanese people spend most of their time working to live.",1,1,1,1,1
"Most Japanese spend most of their time to work to live.","Most Japanese people spend most of their time working to live.",1,1,1,1,1
"Most of Japanese, they cost a lot of time working to live.","Most Japanese people spend most of their time working to live.",0,1,1,1,0
"Japanese usually express their feelings as indirectly as possible so as not to hurt others.","Japansse people usually express their feelings as indirectly as possible so that they "won't offend others.,1,1,1,1,1
"Japanese always express without immindiately not to indure otherperson.","Japansse people usually express their feelings as indirectly as possible so that they "won't offend others.,1,1,1,1,1
"Japanese generally try to express their feelings as indirectly as possible in order to not hurt others.","Japansse people usually express their feelings as indirectly as possible so that they "won't offend others.,1,1,1,1,1
"It's normal for Japanese people to express their feelings indirectly for the purpose of not making others feel bad.","Japansse people usually express their feelings as indirectly as possible so that they "won't offend others.,1,1,1,1,1
"Many Japanease express their feelings as indirectly as possible not to hurt others.","Japansse people usually express their feelings as indirectly as possible so that they "won't offend others.,0,1,1,0,1
"The increase in atmospheric CO2 is closely related to global warming.","The increase in the amout of CO2 in the atomosphere is closely connected with global w"arming.,1,1,1,1,1
"Increase of CO2 is closely related with Earth hottering.","The increase in the amout of CO2 in the atomosphere is closely connected with global w"arming.,0,1,1,0,1
"The increase of CO2 in the air is closely related in the global warming.","The increase in the amout of CO2 in the atomosphere is closely connected with global w"arming.,0,1,1,1,0
"closely related to global warming","The increase in the amout of CO2 in the atomosphere is closely connected with global w"arming.,0,0,0,0,0
"The CO2 increasing in the air is colsely related to the warming up of the earth.","The increase in the amout of CO2 in the atomosphere is closely connected with global w"arming.,0,1,1,0,1
"It is very intersting 100 times to watch baseball studium than TV .","Professional baseball is far more exciting at a stadium than in TV.",0,0,0,0,0
"It is 100 times more interesting to watch professional baseball game in a stadium than watching it on TV.","Professional baseball is far more exciting at a stadium than in TV.",1,1,1,1,1
"Watching baseball games in the excite you 100 times more than doing it on TV.","Professional baseball is far more exciting at a stadium than in TV.",0,1,1,1,0
"Pro baseball game is 100 times more interesting to watch at the stadium than to watch it on TV.","Professional baseball is far more exciting at a stadium than in TV.",1,1,1,1,1
"Professinal baseball is watch a beseball stadium more 100 interest than watch TV.","Professional baseball is far more exciting at a stadium than in TV.",0,1,1,0,0
"This motorcycle is about twice as expensive in England as in Japan.","This motorbike is about twice as expensive in the U.K as in Japan.",1,1,1,1,1
"In England, this bike is twice as expensive as in Japan.","This motorbike is about twice as expensive in the U.K as in Japan.",1,1,1,1,1
"This motorcycle costs in UK approximately twice as expensive as buying in Japan.","This motorbike is about twice as expensive in the U.K as in Japan.",1,1,1,1,1
"This price of this motorcycle is twice as much as it is in Japan.","This motorbike is about twice as expensive in the U.K as in Japan.",0,0,0,0,0
"This bike is about twice as expensive in the UK as in Japan.","This motorbike is about twice as expensive in the U.K as in Japan.",1,1,1,1,1
"It is getting worse reading books, but it is no curious for young people.","Just because young people today read less than they used to, it doesn't always follow "that they are less eager to learn.,0,0,0,0,0
"Even if the amount of reading books decreased, it couldn't prove that younger generation lost their wants towards wisdom.","Just because young people today read less than they used to, it doesn't always follow "that they are less eager to learn.,1,1,1,1,1
"The less reading books young people doesn't mean they don't have less intellectual interests.","Just because young people today read less than they used to, it doesn't always follow "that they are less eager to learn.,0,0,0,0,0
"The decreased volume of reading the book is not linked to the decreased inteligent intend of current young people.","Just because young people today read less than they used to, it doesn't always follow "that they are less eager to learn.,0,0,0,0,0
"Latest younger people is not a little wanting of interigent because they read a few book","Just because young people today read less than they used to, it doesn't always follow "that they are less eager to learn.,0,0,0,0,0
"Entrance examination I tried yesterday is more difficult that I thought .","Frankly speaking, the entrance exams I took yesterday were far more difficult than I h"ad expected.,0,0,0,0,0
"Frankly speaking, the exam I took yesterday was much more difficult than T thought.","Frankly speaking, the entrance exams I took yesterday were far more difficult than I h"ad expected.,1,1,1,1,1
"To be frank, the entrance exam I took yesterday were far more difficult than I had thought.","Frankly speaking, the entrance exams I took yesterday were far more difficult than I h"ad expected.,0,1,1,1,0
"Honestly, the entrance exam I took yesterday is much harder than I expected.","Frankly speaking, the entrance exams I took yesterday were far more difficult than I h"ad expected.,1,1,1,1,1
"Flankely speaking,It was more difficult than I think to do admission exam yesterday","Frankly speaking, the entrance exams I took yesterday were far more difficult than I h"ad expected.,0,1,1,0,0
"There is a country which has a lot of foods in the world.On the other hands, there is a country ten thousands of children die without any food.","In some countries people have too much food, while in others tens of thousands of chil"dren are starving.,1,1,1,1,1
"In some countries, there is a extra food, in others, tens of thousands of children suffer from starving and die.","In some countries people have too much food, while in others tens of thousands of chil"dren are starving.,0,1,1,1,0
"Some countries have plenty of foods, and some countries have thousands of famine children to die.","In some countries people have too much food, while in others tens of thousands of chil"dren are starving.,0,1,1,1,0
"In the world, there is the country which has enough food, on the other hand, there is the country where several ten thousand children died by poor food.","In some countries people have too much food, while in others tens of thousands of chil"dren are starving.,0,1,1,1,0
"All over the world,a lot of food is existing countries but million of children is dying countries.","In some countries people have too much food, while in others tens of thousands of chil"dren are starving.,0,0,0,0,0
"You can`t be diet,if you count collury.","However much exercise you get, you won't lose weight unless you count your calories.",0,0,0,0,0
"As long as you don't caliculate the colorie of what you eat, workout doesn't work out for your diet.","However much exercise you get, you won't lose weight unless you count your calories.",0,0,0,0,0
