解答文,正答文,ラベル,ラベルの値(解答→正答)
"We are living in a hotel for long time, but will find an apartment after a while.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",entail,0.99295956
"We've been staying hotel for the time being, however we are planning to find a room for rent in the near future.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",entail,0.9840142
"We live in a hotel for a while, we would find an apartment.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",neutral,0.97344613
We will find a manshon ,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",neutral,0.9955751
"I will diside absent scool and stay home,it will be recove from cold couple of days.","If he stays home from school for a few days, he will get over his cold.",neutral,0.9883067
"If he stays home from school, he will get over his cold in a few days.","If he stays home from school for a few days, he will get over his cold.",entail,0.99821657
He must recover from sick in a few days if he absents from school and stay in his house,"If he stays home from school for a few days, he will get over his cold.",entail,0.9789013
If he will be absent from school to stay home. his cold is must be cured.,"If he stays home from school for a few days, he will get over his cold.",neutral,0.99865687
"If he is absent from school and stays home, he must be able to get over his cold within a few days.","If he stays home from school for a few days, he will get over his cold.",entail,0.99368507
Foreign tourist to visit Japan increase year by year.,Every year more and more foreign tourists are visiting Japan.,entail,0.99522156
The number of foreigners visiting Japan is increasing year by year.,Every year more and more foreign tourists are visiting Japan.,entail,0.9969469
The number of foreign tourists who visit Japan is increasing.,Every year more and more foreign tourists are visiting Japan.,neutral,0.99708563
The number of visitors from foreigen countries to Japan is increasing year by year.,Every year more and more foreign tourists are visiting Japan.,entail,0.9955083
It is  yearly incline that other country tourists visit Japan.,Every year more and more foreign tourists are visiting Japan.,entail,0.98036516
"I went to Enoshima for the swimming the summer before last,",I went swimming in Enoshima the summer before last.,entail,0.99714285
I went to Enoshima for sea bathing in summer two years ago.,I went swimming in Enoshima the summer before last.,contradiction,0.9935183
I went to Enoshima to swim in the summer before last year.,I went swimming in Enoshima the summer before last.,entail,0.9977737
"In the summmer two years ago,I went bathing to Enoshima beach.",I went swimming in Enoshima the summer before last.,neutral,0.9933357
I went to swin at Enoshima the summer before last year.,I went swimming in Enoshima the summer before last.,entail,0.9848706
"These days, many people do most of their business with their cellphones.",Nowadays many people get almost everything done by using their cellphones.,entail,0.9935095
"In these days, a lot of people do every thing with cell phone.",Nowadays many people get almost everything done by using their cellphones.,entail,0.9938658
"These days, many people use their mobile phones to do most work they have to.",Nowadays many people get almost everything done by using their cellphones.,entail,0.9856022
"In these days, most of the things can be done by mobile phones.",Nowadays many people get almost everything done by using their cellphones.,entail,0.9902226
"Recently,many people do most of their work by using thier cellphone.",Nowadays many people get almost everything done by using their cellphones.,entail,0.9921083
The Cabinet's approval rating has soared sicce the past two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,entail,0.99831426
Number of person agree with minister increased in this two month.,The approval rating for the Cabinet has been rising sharply for the last two months.,neutral,0.9761439
"In the last two months, the rate of support for the government increased rapidly.",The approval rating for the Cabinet has been rising sharply for the last two months.,entail,0.97145754
The supportive rate for the government has surged in these two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,contradiction,0.9936679
The rating of is increased rapidly in this two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,neutral,0.9989827
"What do you do first,when you wake up the morning?",What is the first thing you do after you get up?,entail,0.8903409
What do you do first when you get up.,What is the first thing you do after you get up?,entail,0.6815875
What do you do first when you wake up in the morning?,What is the first thing you do after you get up?,entail,0.97471833
What to do first in the morning.,What is the first thing you do after you get up?,entail,0.9703438
What do you do first when you wake up in the morning?,What is the first thing you do after you get up?,entail,0.97471833
It is better that is secret.,You should leave it unsaid.,contradiction,0.99669373
You had better keep it a secret.,You should leave it unsaid.,entail,0.99638367
You had better keep it a secret.,You should leave it unsaid.,entail,0.99638367
It's better to keep it a secret.,You should leave it unsaid.,entail,0.9932967
It is better for you to keep it secret.,You should leave it unsaid.,entail,0.8745471
The minister had no choice but to take back what he had said.,The minister had to admit that what he said was wrong.,neutral,0.9892998
The minister had to withdrae his comment.,The minister had to admit that what he said was wrong.,neutral,0.92325914
The minister had no way except taking back what he said.,The minister had to admit that what he said was wrong.,neutral,0.89705664
The minister had to admit what he said was wrong.,The minister had to admit that what he said was wrong.,entail,0.99823064
The minister forced to cancel previous opinion.,The minister had to admit that what he said was wrong.,neutral,0.97629863
"After I lost her, I realized that there was something money couldn't buy for the first time.",I had thought I could buy anything with money until I lost her.,entail,0.46972615
I knew there is a thing not to buy money to lose her.,I had thought I could buy anything with money until I lost her.,contradiction,0.99123514
I noticed of that there is something that cannnot buy in the first time after breaking up with my girlfriend.,I had thought I could buy anything with money until I lost her.,neutral,0.99489176
"Only when I had lost her, I knew that there are things that I can't buy with money.",I had thought I could buy anything with money until I lost her.,neutral,0.6366799
I lost her and this was the first time for me to find out that there was cashless.,I had thought I could buy anything with money until I lost her.,neutral,0.9978034
"Recentlly,It be abel to take abroad trips cheeply couse preousiou en.","Thanks to the strong yen, we can travel abroad for less money these days.",contradiction,0.9836331
"Thanks to the increase of yen's value, we can travel abroad at a lower price.","Thanks to the strong yen, we can travel abroad for less money these days.",entail,0.98697436
"Thanks to the strong yen, you can enjoy traveling abroad in low prices recently.","Thanks to the strong yen, we can travel abroad for less money these days.",entail,0.9027637
"Thanks to the strong yen, it has become possible to travel abroad cheaply in these days.","Thanks to the strong yen, we can travel abroad for less money these days.",entail,0.99794954
"Recently,someone can go abroad to expensive yen.","Thanks to the strong yen, we can travel abroad for less money these days.",contradiction,0.9867855
Please help me to carry this box.,Could you give me a hand with this box?,entail,0.9911408
Could you help me carry yhis box.,Could you give me a hand with this box?,entail,0.9928059
Could you give me a hand to bring this box.,Could you give me a hand with this box?,entail,0.9957415
Could you please help us to bring this box ?,Could you give me a hand with this box?,neutral,0.6466807
please help me to carrying the box.,Could you give me a hand with this box?,entail,0.99441385
"When I was shopping ,I met old friend,Jim.","I was shopping I ran into Jim, an old friend of mine.",entail,0.9863442
"While I went shopping at that store, Imet an old friend,Jim.","I was shopping I ran into Jim, an old friend of mine.",neutral,0.9242573
"I was shopping at that store, I met old friend Jim. ","I was shopping I ran into Jim, an old friend of mine.",entail,0.98615277
"I met Jim who is my old friend, when I bought someone in it's store.","I was shopping I ran into Jim, an old friend of mine.",entail,0.7581863
"When I was shopping this store,I met Jim of old friend.","I was shopping I ran into Jim, an old friend of mine.",entail,0.9754782
Fire men came at burns place 30 minuts later.,The fire brigade arrived 30 minutes after the fire broke out.,neutral,0.99646676
Firefighters arrived 30 minutes after the fire accident broke out.,The fire brigade arrived 30 minutes after the fire broke out.,entail,0.98741037
The firefighters arrived after the fire got started.,The fire brigade arrived 30 minutes after the fire broke out.,neutral,0.999084
Firemen reached 30 minitues after the fire happened.,The fire brigade arrived 30 minutes after the fire broke out.,neutral,0.9910952
it have arrived at 30 minutes later since causing  fire.,The fire brigade arrived 30 minutes after the fire broke out.,neutral,0.99383116
Mr.White worked hard to feed his four family.,Mr. White worked hard to support a family of four.,entail,0.996398
Mr. White worked hard in order to taking care of his family of 4.,Mr. White worked hard to support a family of four.,entail,0.99669397
"Mr,White worked hardly to feed his family of 4. ",Mr. White worked hard to support a family of four.,contradiction,0.9943137
White-san worked hard to support his family of four.,Mr. White worked hard to support a family of four.,entail,0.99664766
"Mr,white worked hard to grow four person family.",Mr. White worked hard to support a family of four.,entail,0.9966629
I walked softly so that the baby wouldn't wake up.,I crept around so as not to wake up the baby.,entail,0.9908103
I walked slowly not to wake up baby.,I crept around so as not to wake up the baby.,entail,0.99712354
I walked slowly to not wake the baby up.,I crept around so as not to wake up the baby.,entail,0.9959829
I walked quietly not to awake the baby.,I crept around so as not to wake up the baby.,entail,0.99625504
I walked quietly so that the baby wouldn't wake up.,I crept around so as not to wake up the baby.,entail,0.9918914
This song make me remember to presious memory when we had stayed N.Y.,"When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.4016327
"When I was listen to the music, I recognized the days in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.6700237
This song always reminds me of the day we epend in New York.,"When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.99783725
"Whenever I hear this song, which reminds me the days we spend in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.9944258
"Whenever I hear this song, I remember the days I spent in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.9896882
It is strang that no tenderlling own home.,Most people love their hometown.,neutral,0.99162745
There is rarely noone who doesn't have even a little love towards their own hometown.,Most people love their hometown.,contradiction,0.7280827
Hardly ever don't feel emotions  own town.,Most people love their hometown.,neutral,0.9730883
Few people feel no affection for their hometown.,Most people love their hometown.,contradiction,0.99869955
It is rare person that one's hometown do not feel in love.,Most people love their hometown.,neutral,0.56916404
"If you want to pass exam of uni, you should be sutdy hard.",Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,neutral,0.9989281
It depends on the amount of study you do in the next one year whether you pass the exam of college.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,neutral,0.77713937
Whether you pass the entrance exam for the university or not will be up to how mucu you study hard next one year.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,entail,0.9902666
Whether you pass the test for univercity depends on your amount of study over the next year.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,contradiction,0.71947134
you do amount of the studying whether to pass university.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,neutral,0.99891853
Washing your hands carefully is the best way to stop the spread of germs.,The best way to prevent the spread of germs is to wash your hands thoroughly.,entail,0.9983438
to wash hands politely is the best way to stop movement of bacteria. ,The best way to prevent the spread of germs is to wash your hands thoroughly.,entail,0.9963295
Washing hands cleanly is the best way to prevent to not spread virus.,The best way to prevent the spread of germs is to wash your hands thoroughly.,neutral,0.9787001
Washing your hands neatly is the best way to curb the spreading of germs.,The best way to prevent the spread of germs is to wash your hands thoroughly.,entail,0.9984018
It is the best way to wash hands many times in order to avoid spreading the virus. ,The best way to prevent the spread of germs is to wash your hands thoroughly.,neutral,0.92105746
Cheap sales are not in the interest of all consumers.,Not all bargains mean saving for the consumers.,entail,0.9946794
To sale is not necessary benefit of all customer.,Not all bargains mean saving for the consumers.,entail,0.9941056
Not all consumers think that cheap sales will be benefit.,Not all bargains mean saving for the consumers.,entail,0.99197304
Bargains are not customers.,Not all bargains mean saving for the consumers.,neutral,0.98659617
The cheep does not always lead to consumer's benefit.,Not all bargains mean saving for the consumers.,entail,0.9874407
No beautiful even mothers love child.,Nothing is as beautiful as a mother’s love for her children.,entail,0.75678235
There is nothing more beautiful than a mother's love for her child.,Nothing is as beautiful as a mother’s love for her children.,entail,0.9973578
Nothing is more beautiful than a mother's love for her child.,Nothing is as beautiful as a mother’s love for her children.,entail,0.99572444
There is no beautiful thing rather than lovely passion to child from mother.,Nothing is as beautiful as a mother’s love for her children.,entail,0.99710244
No other beautiful thing love  mother to son.,Nothing is as beautiful as a mother’s love for her children.,entail,0.99478465
There is USA army in Okinawa even other pri in Japan.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,neutral,0.8495432
Okinawa is only the place where so many American military bases placed in.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,neutral,0.8086936
"No other in Japan, Okinawa prefecture",Nowhere in Japan are there as many U.S. military bases as in Okinawa.,contradiction,0.9058598
No other prefecture in Japan has as many US military bases as Okinawa.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,entail,0.9945892
No other prefecture of Japan are a lot of American base in Okinawa.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,entail,0.56849056
I`ve ever find heavy taihoon first time.,This is the worst typhoon I’ve experienced.,neutral,0.9721122
I never had such a terrible typhoon.,This is the worst typhoon I’ve experienced.,entail,0.9927008
It's been a first time for me to experience such a strong typhoon.,This is the worst typhoon I’ve experienced.,neutral,0.9620103
A typhoon is for the first time in my life. ,This is the worst typhoon I’ve experienced.,contradiction,0.988209
"For the first time in my life,it is terrible typhoon.",This is the worst typhoon I’ve experienced.,neutral,0.9916855
"Generally speaking,people become kind as the get older. ","Generally speaking, the older people get, he more broad-minded they become.",neutral,0.9184299
"In general, Man his age","Generally speaking, the older people get, he more broad-minded they become.",neutral,0.99389887
"Generally speaking, the older people become, the more generous they become.","Generally speaking, the older people get, he more broad-minded they become.",entail,0.98902893
"Generally speaking, people get generous as they get older.","Generally speaking, the older people get, he more broad-minded they become.",neutral,0.9608658
"In general, the more people become older, the more people become tolerable. ","Generally speaking, the older people get, he more broad-minded they become.",entail,0.9432439
I came to home until 20 years.,I went back to my hometown for the first time in twenty years the other day.,contradiction,0.98832417
I went to hometown the other day for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.,entail,0.988729
I went home for the first time in 20years the other day.,I went back to my hometown for the first time in twenty years the other day.,neutral,0.99557143
The other day I went home for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.,neutral,0.9954816
I have been to home last month since 20 years.,I went back to my hometown for the first time in twenty years the other day.,neutral,0.9932139
Local people said it is rare in this fine weather.,The local people said that it was the most beautiful day for years.,contradiction,0.9895298
The local people said that it has been a long time since we have had such a good weather.,The local people said that it was the most beautiful day for years.,contradiction,0.99416924
"Local persons said It's been a while such a beatiful weather we have"".""",The local people said that it was the most beautiful day for years.,contradiction,0.99900395
Local people said that there was no such sunny day for a long time. ,The local people said that it was the most beautiful day for years.,contradiction,0.98790795
Person of this resion said it is very good weather.,The local people said that it was the most beautiful day for years.,neutral,0.9990983
Cherry blossoms bloom around the end of March and bloom in early April ln this region.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",entail,0.9970305
cherry blossom start blooming in march and become full in april in ～（の）area.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",entail,0.9974821
"In the area, the cherry blossoms bloom at the end of March and become full bloom in early April.","In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",entail,0.99590343
"In this area, cherry blossoms start to bloom in the end of March, and they are in full bloom in the beginning of April.","In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",entail,0.99580944
The sakura start blooming at the end of March and it fully blooms at early of April.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",contradiction,0.9895586
"You are better to stay here for miniuts,it heavy rain outside.",It’s pouring down outside. I think it would be better to stay here a little longer.,entail,0.9929715
"Because it rains heavily in ?, you better staying here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,entail,0.99756503
"Because of heavy rain, you should stay here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,entail,0.97867715
"It's raining terribly outside,so it is better for you to stay here for a a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,entail,0.99770904
you had better be here because of heavy rain.,It’s pouring down outside. I think it would be better to stay here a little longer.,neutral,0.9003807
I think weather is changing reacentlly.,These days the weather is changeable.,entail,0.99546546
"These days, climate frequently changes.",These days the weather is changeable.,entail,0.994296
"Recently,the weather is so changeable.",These days the weather is changeable.,entail,0.9958831
"Recently, the weather changes easily.",These days the weather is changeable.,entail,0.9979081
"Recently,It tend to chenge the weather.",These days the weather is changeable.,entail,0.9949927
It has been raining on and off for nearly two weeks since the rainy season began.,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",entail,0.99827623
Rain sometimes in this two weeks ,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",neutral,0.99424887
"Since rainy season came, it rains repeatedly for two weeks.","Since the rainy season set in, it has been raining off and on for nearly two weeks.",entail,0.99499655
It rains and stop from enter the rainy season.,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",neutral,0.9989151
"After entering the Tsuyu, the rain is started or stopped many times for two weeks.","Since the rainy season set in, it has been raining off and on for nearly two weeks.",entail,0.988684
Shall we go to take hikking to Okutama if good weather next Sunday?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,entail,0.99616677
Why don't we go hiking if the weather is fine this Sunday.,How would you like to go hiking in Okutama next Sunday if the weather is nice.,neutral,0.9989166
"When it will be good weather, would you go hiking to Okutama next Sunday.",How would you like to go hiking in Okutama next Sunday if the weather is nice.,entail,0.99744797
May I go to the hiking in Okutama with you if the wether of the coming Sunnday is fine ?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,neutral,0.9934975
"When shall we do hiking next summer,it will be sunny.",How would you like to go hiking in Okutama next Sunday if the weather is nice.,neutral,0.6008406
Weather forecast says Typhoon will come near to Kyushu area in around midnighit tonight.  ,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,contradiction,0.9953458
"According to forecast, the typhoon is approaching Kyushu-area around this midnight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,entail,0.9900092
"According to the weather forecast, the tayhoon will reach the Kyushu-reagion aroud midnight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,entail,0.9694464
"According to weather broadcast,typhoon is near resion in Kyusyu tonight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,contradiction,0.9191622
The weather report says that the typhoon will arrive to Kyushu areas around the midnight tonight.,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,entail,0.7203809
It Tokyo is better climet than my home country.,The climate in Tokyo is much milder than that in my hometown.,entail,0.954351
The climate of Tokyo is much milder than that of my hometown.,The climate in Tokyo is much milder than that in my hometown.,entail,0.9983491
The climate in Tokyo is much milder than in my hometown.,The climate in Tokyo is much milder than that in my hometown.,entail,0.9982685
The climate in Tokyo is milder than that is in my hometown.,The climate in Tokyo is much milder than that in my hometown.,entail,0.9975069
The wether of Tokyo is more liveable than my local reagion.,The climate in Tokyo is much milder than that in my hometown.,contradiction,0.97427535
"This winter,we have much more snow than usual.",We’ve had more snow than usual this winter.,entail,0.9984842
This winter has a lot of snow .,We’ve had more snow than usual this winter.,neutral,0.9984363
It unprecedentedly snows a lot this year.,We’ve had more snow than usual this winter.,neutral,0.53983086
There is more snow this year than usual.,We’ve had more snow than usual this winter.,entail,0.98025906
This winter there are a lot of snow rather than other year.,We’ve had more snow than usual this winter.,neutral,0.98807865
It is heavy snow to become 20 years before.,This is the heaviest snowfall we’ve had for the past twenty years.,neutral,0.9667086
It's been a 20 years since snowing such a lot.,This is the heaviest snowfall we’ve had for the past twenty years.,neutral,0.47470602
"The heaviest snowfall in recent 20 years.""",This is the heaviest snowfall we’ve had for the past twenty years.,entail,0.9856098
Such large snow is the first time after the large snow twenty years ago.,This is the heaviest snowfall we’ve had for the past twenty years.,contradiction,0.7621853
It have been very snow since 20 years.,This is the heaviest snowfall we’ve had for the past twenty years.,neutral,0.997544
Because bus was late in 20minuites according to traffic jam. ,"The traffic was heavy, so my bus came twenty minutes late.",neutral,0.7937201
The bus was 20 minutes late because the road was crowded.,"The traffic was heavy, so my bus came twenty minutes late.",entail,0.99298877
"Because of the heavy traffic, the bus was late 20 minites as it scheduled.","The traffic was heavy, so my bus came twenty minutes late.",entail,0.9937895
Because the bus was delayed for 20 minitues by the road traffic.,"The traffic was heavy, so my bus came twenty minutes late.",neutral,0.99216706
Because of crowding a way ,"The traffic was heavy, so my bus came twenty minutes late.",neutral,0.99834514
"I have never ever no  accident,even thought I have taking car 30 yarys.","I have been driving for almost thirty years, but fortunately I have never had an accident.",neutral,0.9976109
"I have been driving a car almost for thirty years,but I have no car accidents fortunately.","I have been driving for almost thirty years, but fortunately I have never had an accident.",entail,0.99799263
I fortunately haven't got a car accident for 30 years since I started driving a car.,"I have been driving for almost thirty years, but fortunately I have never had an accident.",entail,0.997707
"I have been driving almost 30years, fortunatery I have never had traffic accidents.","I have been driving for almost thirty years, but fortunately I have never had an accident.",entail,0.9983827
"I've been driving a car for almost 30 years, and fortunately I've never had an accident.","I have been driving for almost thirty years, but fortunately I have never had an accident.",entail,0.9982938
I had shocked to see the nursery kid had bump of truck this trrafic jam this street.,I was shocked at how a small child was run over by a truck at this corner.,neutral,0.9397774
I was shocked that I bumped into the accident which a track drove away a kindergarden student on the cross road in this street.,I was shocked at how a small child was run over by a truck at this corner.,neutral,0.9890246
"I was shocked I saw a Kindergarten  child was hit by the track the intersection of this street, ",I was shocked at how a small child was run over by a truck at this corner.,neutral,0.99707055
I was very shocked to see that the truck went over the child at the crossroad of this street. ,I was shocked at how a small child was run over by a truck at this corner.,entail,0.97968113
I was shocked that younger child attacked by track closs road of the way .,I was shocked at how a small child was run over by a truck at this corner.,neutral,0.70318
"It shoud make accident,if he were to ride on that train.","If he had been on the train, he would have been in the accident.",neutral,0.83405066
"If he had taken the train, he would have been involved in an accident.","If he had been on the train, he would have been in the accident.",entail,0.9961195
"If he was on the train, he would have been in the accident.","If he had been on the train, he would have been in the accident.",entail,0.99663585
If he took the train he would got involved in an accident. ,"If he had been on the train, he would have been in the accident.",entail,0.9957573
"If he ride the train, he might have been involved in the accident.","If he had been on the train, he would have been in the accident.",entail,0.99732286
"It takes one day to go Osaka from Tokyo by car, but one hour by airplane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",contradiction,0.7848012
"It takes a whole day from Tokyo to Osaka by car, but it takes an hour by airplane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",entail,0.99771214
"It takes a day from Tokyo to Osaka by car, it takes an hour by plane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",entail,0.99411845
"It takes a day to go to Tokyo from Osaka by car, but it takes an hour by airplane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",entail,0.9934242
it cosy a day Tokyo to Osaka by car but a minutes by train.,"It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",contradiction,0.99968505
I stood all the time because bus and train was very clowed.,"Both the train and the bus were jam-packed, so I had to stand all the way.",entail,0.99597794
The trains and buses were so crowded that I have to stand the whole time.,"Both the train and the bus were jam-packed, so I had to stand all the way.",entail,0.99729985
"Because both the train and the bus were crowded, I kept standing all the time.","Both the train and the bus were jam-packed, so I had to stand all the way.",entail,0.99743724
I stood for a long time because the train or the bus was very crowdy.,"Both the train and the bus were jam-packed, so I had to stand all the way.",contradiction,0.980346
I was standing all the time because train and bus crowded.,"Both the train and the bus were jam-packed, so I had to stand all the way.",entail,0.99352807
"I was so tired, when I arrived at the my destination place.",I was tired out by the time I got to my destination.,entail,0.9977235
I was tired when I arrived at destination.,I was tired out by the time I got to my destination.,entail,0.99757856
I was very tired when I arrived at my goal.,I was tired out by the time I got to my destination.,entail,0.99735403
"When I arrived the destination, I was exhausted.",I was tired out by the time I got to my destination.,entail,0.99776113
