解答文,正答文,ラベル,ラベルの値(解答←正答)
I did't spend money that I thought  ,Living in Canada was not as expensive as I thought it would be.,entail,0.932769
Life in Canada was not as expensive as I thoght.,Living in Canada was not as expensive as I thought it would be.,entail,0.99795747
Living in Canada didn't cost much than I had expected.,Living in Canada was not as expensive as I thought it would be.,entail,0.9974492
I did not consume the money for Canadian life rather than I predicted before.,Living in Canada was not as expensive as I thought it would be.,entail,0.94441444
Living in Canada do not cost money than I think.,Living in Canada was not as expensive as I thought it would be.,entail,0.9888915
The plane has gone when we arrived at airport.,"When we got to the airport, the airplane had already left.",entail,0.99837947
"When we arrived at the airport, the plane had already taken off.","When we got to the airport, the airplane had already left.",entail,0.9980203
"When we arrived the airport, the aiplain have already taken off.","When we got to the airport, the airplane had already left.",entail,0.99430096
"When I arrived the airport, the flight had already taken off. ","When we got to the airport, the airplane had already left.",entail,0.99672407
The airplane have already departed when we arrived at the airport.,"When we got to the airport, the airplane had already left.",entail,0.99828404
"If I had money,I would stay one more night.","If I had more money, I could stay one more night.",entail,0.9977915
"If I have money , I stay one more night.","If I had more money, I could stay one more night.",entail,0.96854377
"If I have money, I would stay one more night.","If I had more money, I could stay one more night.",entail,0.9975189
If I have money I will stay one more night.,"If I had more money, I could stay one more night.",entail,0.9911917
I would like to stay one more night if I have money.,"If I had more money, I could stay one more night.",entail,0.9980082
"If I was hurr up, I made to ride on the last train last night.","If I had hurried last night, I could have caught the last train.",contradiction,0.91874677
I would be on time last night if I go hurrily.,"If I had hurried last night, I could have caught the last train.",contradiction,0.4396847
"Last night, if I had been in a rush, I could have caught the last train","If I had hurried last night, I could have caught the last train.",entail,0.9978454
"Last night, if I harried up, I were able to take the train.","If I had hurried last night, I could have caught the last train.",entail,0.99681014
I have riden by last train last night.,"If I had hurried last night, I could have caught the last train.",contradiction,0.978823
"Please tell me,Will the fast train  arrive at Shizuoka from Tokyo 9am?",Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,neutral,0.9931933
Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,entail,0.8608369
I would like to know if the high speed train departing at 9am stop by Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,entail,0.9960974
Could you tell me if the Shinkansen departing at 9am will stop in Shizuoka.,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,entail,0.98966813
Could you please teach me whether Shinkansen departing at 9 AM stop Shizuoka or not ?,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,entail,0.99513286
Bride and groom go honeymoon by express at 5:30.,the bride and groom are leaving on their honeymoon on the 5:30 express.,entail,0.9982937
The bride and har hasband take the 5:30 express train for their haneymoon.,the bride and groom are leaving on their honeymoon on the 5:30 express.,contradiction,0.92268264
The bloom and bride will be going to their honeymoon on the express train five thirty ,the bride and groom are leaving on their honeymoon on the 5:30 express.,entail,0.98703754
The bride and groom will go on their honeymoon on the express train at 5:30.,the bride and groom are leaving on their honeymoon on the 5:30 express.,entail,0.99818474
New merring men and women are leaving travel of marring by special train half to 5 o'clock.,the bride and groom are leaving on their honeymoon on the 5:30 express.,contradiction,0.65883774
We have been living at hotel until finding some apart anyday.  ,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",neutral,0.9803796
"We are living in a hotel for long time, but will find an apartment after a while.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",entail,0.9954152
"We've been staying hotel for the time being, however we are planning to find a room for rent in the near future.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",entail,0.9970693
"We live in a hotel for a while, we would find an apartment.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",entail,0.99749905
We will find a manshon ,"We are living in a hotel for the time being, but we are going to find an apartment pretty soon.",neutral,0.78986365
"I will diside absent scool and stay home,it will be recove from cold couple of days.","If he stays home from school for a few days, he will get over his cold.",neutral,0.8053945
"If he stays home from school, he will get over his cold in a few days.","If he stays home from school for a few days, he will get over his cold.",entail,0.99825376
He must recover from sick in a few days if he absents from school and stay in his house,"If he stays home from school for a few days, he will get over his cold.",entail,0.99584407
If he will be absent from school to stay home. his cold is must be cured.,"If he stays home from school for a few days, he will get over his cold.",neutral,0.47080982
"If he is absent from school and stays home, he must be able to get over his cold within a few days.","If he stays home from school for a few days, he will get over his cold.",entail,0.9955635
Foreign tourist to visit Japan increase year by year.,Every year more and more foreign tourists are visiting Japan.,entail,0.9951964
The number of foreigners visiting Japan is increasing year by year.,Every year more and more foreign tourists are visiting Japan.,entail,0.9961236
The number of foreign tourists who visit Japan is increasing.,Every year more and more foreign tourists are visiting Japan.,entail,0.99521047
The number of visitors from foreigen countries to Japan is increasing year by year.,Every year more and more foreign tourists are visiting Japan.,entail,0.9955456
It is  yearly incline that other country tourists visit Japan.,Every year more and more foreign tourists are visiting Japan.,entail,0.98457587
"I went to Enoshima for the swimming the summer before last,",I went swimming in Enoshima the summer before last.,entail,0.996536
I went to Enoshima for sea bathing in summer two years ago.,I went swimming in Enoshima the summer before last.,neutral,0.73994994
I went to Enoshima to swim in the summer before last year.,I went swimming in Enoshima the summer before last.,entail,0.9915959
"In the summmer two years ago,I went bathing to Enoshima beach.",I went swimming in Enoshima the summer before last.,contradiction,0.5877782
I went to swin at Enoshima the summer before last year.,I went swimming in Enoshima the summer before last.,contradiction,0.6947454
"These days, many people do most of their business with their cellphones.",Nowadays many people get almost everything done by using their cellphones.,entail,0.99559563
"In these days, a lot of people do every thing with cell phone.",Nowadays many people get almost everything done by using their cellphones.,entail,0.99820757
"These days, many people use their mobile phones to do most work they have to.",Nowadays many people get almost everything done by using their cellphones.,entail,0.9968617
"In these days, most of the things can be done by mobile phones.",Nowadays many people get almost everything done by using their cellphones.,entail,0.99750817
"Recently,many people do most of their work by using thier cellphone.",Nowadays many people get almost everything done by using their cellphones.,entail,0.99265975
The Cabinet's approval rating has soared sicce the past two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,entail,0.99838555
Number of person agree with minister increased in this two month.,The approval rating for the Cabinet has been rising sharply for the last two months.,entail,0.9973449
"In the last two months, the rate of support for the government increased rapidly.",The approval rating for the Cabinet has been rising sharply for the last two months.,entail,0.9951799
The supportive rate for the government has surged in these two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,entail,0.9973767
The rating of is increased rapidly in this two months.,The approval rating for the Cabinet has been rising sharply for the last two months.,entail,0.9978719
"What do you do first,when you wake up the morning?",What is the first thing you do after you get up?,neutral,0.98439664
What do you do first when you get up.,What is the first thing you do after you get up?,entail,0.9607518
What do you do first when you wake up in the morning?,What is the first thing you do after you get up?,contradiction,0.6137147
What to do first in the morning.,What is the first thing you do after you get up?,entail,0.8653993
What do you do first when you wake up in the morning?,What is the first thing you do after you get up?,contradiction,0.6137147
It is better that is secret.,You should leave it unsaid.,neutral,0.9876522
You had better keep it a secret.,You should leave it unsaid.,entail,0.9692217
You had better keep it a secret.,You should leave it unsaid.,entail,0.9692217
It's better to keep it a secret.,You should leave it unsaid.,entail,0.9165066
It is better for you to keep it secret.,You should leave it unsaid.,entail,0.7915788
The minister had no choice but to take back what he had said.,The minister had to admit that what he said was wrong.,neutral,0.9923515
The minister had to withdrae his comment.,The minister had to admit that what he said was wrong.,entail,0.9837863
The minister had no way except taking back what he said.,The minister had to admit that what he said was wrong.,contradiction,0.91479194
The minister had to admit what he said was wrong.,The minister had to admit that what he said was wrong.,entail,0.9980379
The minister forced to cancel previous opinion.,The minister had to admit that what he said was wrong.,neutral,0.97609335
"After I lost her, I realized that there was something money couldn't buy for the first time.",I had thought I could buy anything with money until I lost her.,entail,0.8993946
I knew there is a thing not to buy money to lose her.,I had thought I could buy anything with money until I lost her.,contradiction,0.98501784
I noticed of that there is something that cannnot buy in the first time after breaking up with my girlfriend.,I had thought I could buy anything with money until I lost her.,neutral,0.99614066
"Only when I had lost her, I knew that there are things that I can't buy with money.",I had thought I could buy anything with money until I lost her.,entail,0.8012678
I lost her and this was the first time for me to find out that there was cashless.,I had thought I could buy anything with money until I lost her.,neutral,0.9908131
"Recentlly,It be abel to take abroad trips cheeply couse preousiou en.","Thanks to the strong yen, we can travel abroad for less money these days.",contradiction,0.9744547
"Thanks to the increase of yen's value, we can travel abroad at a lower price.","Thanks to the strong yen, we can travel abroad for less money these days.",entail,0.99542
"Thanks to the strong yen, you can enjoy traveling abroad in low prices recently.","Thanks to the strong yen, we can travel abroad for less money these days.",entail,0.9896534
"Thanks to the strong yen, it has become possible to travel abroad cheaply in these days.","Thanks to the strong yen, we can travel abroad for less money these days.",entail,0.99678206
"Recently,someone can go abroad to expensive yen.","Thanks to the strong yen, we can travel abroad for less money these days.",entail,0.98290986
Please help me to carry this box.,Could you give me a hand with this box?,entail,0.9973182
Could you help me carry yhis box.,Could you give me a hand with this box?,entail,0.9945555
Could you give me a hand to bring this box.,Could you give me a hand with this box?,entail,0.9974482
Could you please help us to bring this box ?,Could you give me a hand with this box?,entail,0.9891433
please help me to carrying the box.,Could you give me a hand with this box?,entail,0.9968899
"When I was shopping ,I met old friend,Jim.","I was shopping I ran into Jim, an old friend of mine.",entail,0.9983866
"While I went shopping at that store, Imet an old friend,Jim.","I was shopping I ran into Jim, an old friend of mine.",entail,0.99308044
"I was shopping at that store, I met old friend Jim. ","I was shopping I ran into Jim, an old friend of mine.",entail,0.9947737
"I met Jim who is my old friend, when I bought someone in it's store.","I was shopping I ran into Jim, an old friend of mine.",neutral,0.9848616
"When I was shopping this store,I met Jim of old friend.","I was shopping I ran into Jim, an old friend of mine.",entail,0.99431425
Fire men came at burns place 30 minuts later.,The fire brigade arrived 30 minutes after the fire broke out.,entail,0.867197
Firefighters arrived 30 minutes after the fire accident broke out.,The fire brigade arrived 30 minutes after the fire broke out.,entail,0.9846325
The firefighters arrived after the fire got started.,The fire brigade arrived 30 minutes after the fire broke out.,entail,0.97937185
Firemen reached 30 minitues after the fire happened.,The fire brigade arrived 30 minutes after the fire broke out.,neutral,0.9976593
it have arrived at 30 minutes later since causing  fire.,The fire brigade arrived 30 minutes after the fire broke out.,entail,0.99278307
Mr.White worked hard to feed his four family.,Mr. White worked hard to support a family of four.,neutral,0.9857195
Mr. White worked hard in order to taking care of his family of 4.,Mr. White worked hard to support a family of four.,entail,0.9946122
"Mr,White worked hardly to feed his family of 4. ",Mr. White worked hard to support a family of four.,contradiction,0.9997054
White-san worked hard to support his family of four.,Mr. White worked hard to support a family of four.,entail,0.99273866
"Mr,white worked hard to grow four person family.",Mr. White worked hard to support a family of four.,neutral,0.99019986
I walked softly so that the baby wouldn't wake up.,I crept around so as not to wake up the baby.,neutral,0.9145095
I walked slowly not to wake up baby.,I crept around so as not to wake up the baby.,entail,0.9878775
I walked slowly to not wake the baby up.,I crept around so as not to wake up the baby.,entail,0.98909855
I walked quietly not to awake the baby.,I crept around so as not to wake up the baby.,entail,0.9910891
I walked quietly so that the baby wouldn't wake up.,I crept around so as not to wake up the baby.,entail,0.9884277
This song make me remember to presious memory when we had stayed N.Y.,"When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.9963194
"When I was listen to the music, I recognized the days in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.99690765
This song always reminds me of the day we epend in New York.,"When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.99792
"Whenever I hear this song, which reminds me the days we spend in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.99818194
"Whenever I hear this song, I remember the days I spent in New York.","When I hear this song, I’m always reminded of the days when we lived in New York.",entail,0.9979722
It is strang that no tenderlling own home.,Most people love their hometown.,contradiction,0.9986474
There is rarely noone who doesn't have even a little love towards their own hometown.,Most people love their hometown.,neutral,0.9948021
Hardly ever don't feel emotions  own town.,Most people love their hometown.,contradiction,0.5192554
Few people feel no affection for their hometown.,Most people love their hometown.,contradiction,0.9997135
It is rare person that one's hometown do not feel in love.,Most people love their hometown.,neutral,0.9818076
"If you want to pass exam of uni, you should be sutdy hard.",Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,neutral,0.9837338
It depends on the amount of study you do in the next one year whether you pass the exam of college.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,entail,0.9802904
Whether you pass the entrance exam for the university or not will be up to how mucu you study hard next one year.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,neutral,0.9953265
Whether you pass the test for univercity depends on your amount of study over the next year.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,entail,0.99362284
you do amount of the studying whether to pass university.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.,entail,0.97881794
Washing your hands carefully is the best way to stop the spread of germs.,The best way to prevent the spread of germs is to wash your hands thoroughly.,entail,0.9972385
to wash hands politely is the best way to stop movement of bacteria. ,The best way to prevent the spread of germs is to wash your hands thoroughly.,neutral,0.98502696
Washing hands cleanly is the best way to prevent to not spread virus.,The best way to prevent the spread of germs is to wash your hands thoroughly.,entail,0.99145424
Washing your hands neatly is the best way to curb the spreading of germs.,The best way to prevent the spread of germs is to wash your hands thoroughly.,entail,0.9973998
It is the best way to wash hands many times in order to avoid spreading the virus. ,The best way to prevent the spread of germs is to wash your hands thoroughly.,neutral,0.99070287
Cheap sales are not in the interest of all consumers.,Not all bargains mean saving for the consumers.,entail,0.92641056
To sale is not necessary benefit of all customer.,Not all bargains mean saving for the consumers.,neutral,0.4053862
Not all consumers think that cheap sales will be benefit.,Not all bargains mean saving for the consumers.,entail,0.8860491
Bargains are not customers.,Not all bargains mean saving for the consumers.,contradiction,0.9863846
The cheep does not always lead to consumer's benefit.,Not all bargains mean saving for the consumers.,entail,0.9900506
No beautiful even mothers love child.,Nothing is as beautiful as a mother’s love for her children.,contradiction,0.99960464
There is nothing more beautiful than a mother's love for her child.,Nothing is as beautiful as a mother’s love for her children.,entail,0.9958151
Nothing is more beautiful than a mother's love for her child.,Nothing is as beautiful as a mother’s love for her children.,entail,0.99422014
There is no beautiful thing rather than lovely passion to child from mother.,Nothing is as beautiful as a mother’s love for her children.,entail,0.9915854
No other beautiful thing love  mother to son.,Nothing is as beautiful as a mother’s love for her children.,neutral,0.814184
There is USA army in Okinawa even other pri in Japan.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,neutral,0.5915951
Okinawa is only the place where so many American military bases placed in.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,entail,0.9737221
"No other in Japan, Okinawa prefecture",Nowhere in Japan are there as many U.S. military bases as in Okinawa.,contradiction,0.9964652
No other prefecture in Japan has as many US military bases as Okinawa.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,entail,0.92767966
No other prefecture of Japan are a lot of American base in Okinawa.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.,entail,0.9441435
I`ve ever find heavy taihoon first time.,This is the worst typhoon I’ve experienced.,contradiction,0.95424366
I never had such a terrible typhoon.,This is the worst typhoon I’ve experienced.,neutral,0.9975357
It's been a first time for me to experience such a strong typhoon.,This is the worst typhoon I’ve experienced.,neutral,0.86499023
A typhoon is for the first time in my life. ,This is the worst typhoon I’ve experienced.,contradiction,0.9967083
"For the first time in my life,it is terrible typhoon.",This is the worst typhoon I’ve experienced.,neutral,0.9985429
"Generally speaking,people become kind as the get older. ","Generally speaking, the older people get, he more broad-minded they become.",entail,0.6572849
"In general, Man his age","Generally speaking, the older people get, he more broad-minded they become.",entail,0.98802865
"Generally speaking, the older people become, the more generous they become.","Generally speaking, the older people get, he more broad-minded they become.",entail,0.69648415
"Generally speaking, people get generous as they get older.","Generally speaking, the older people get, he more broad-minded they become.",entail,0.98313415
"In general, the more people become older, the more people become tolerable. ","Generally speaking, the older people get, he more broad-minded they become.",contradiction,0.97514856
I came to home until 20 years.,I went back to my hometown for the first time in twenty years the other day.,contradiction,0.97893435
I went to hometown the other day for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.,entail,0.99779797
I went home for the first time in 20years the other day.,I went back to my hometown for the first time in twenty years the other day.,entail,0.98992634
The other day I went home for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.,entail,0.99543566
I have been to home last month since 20 years.,I went back to my hometown for the first time in twenty years the other day.,neutral,0.95588875
Local people said it is rare in this fine weather.,The local people said that it was the most beautiful day for years.,neutral,0.48377606
The local people said that it has been a long time since we have had such a good weather.,The local people said that it was the most beautiful day for years.,neutral,0.98921555
"Local persons said It's been a while such a beatiful weather we have"".""",The local people said that it was the most beautiful day for years.,contradiction,0.9949445
Local people said that there was no such sunny day for a long time. ,The local people said that it was the most beautiful day for years.,neutral,0.9978115
Person of this resion said it is very good weather.,The local people said that it was the most beautiful day for years.,entail,0.99452776
Cherry blossoms bloom around the end of March and bloom in early April ln this region.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",entail,0.9981816
cherry blossom start blooming in march and become full in april in ～（の）area.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",neutral,0.99843997
"In the area, the cherry blossoms bloom at the end of March and become full bloom in early April.","In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",entail,0.7320978
"In this area, cherry blossoms start to bloom in the end of March, and they are in full bloom in the beginning of April.","In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",entail,0.98588204
The sakura start blooming at the end of March and it fully blooms at early of April.,"In this area, the cherry blossoms come out around the end of March, and they are at their best in early April.",contradiction,0.98417294
"You are better to stay here for miniuts,it heavy rain outside.",It’s pouring down outside. I think it would be better to stay here a little longer.,neutral,0.9802459
"Because it rains heavily in ?, you better staying here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,neutral,0.8687371
"Because of heavy rain, you should stay here for a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,neutral,0.99869907
"It's raining terribly outside,so it is better for you to stay here for a a while.",It’s pouring down outside. I think it would be better to stay here a little longer.,neutral,0.9972567
you had better be here because of heavy rain.,It’s pouring down outside. I think it would be better to stay here a little longer.,neutral,0.99873906
I think weather is changing reacentlly.,These days the weather is changeable.,entail,0.98206615
"These days, climate frequently changes.",These days the weather is changeable.,entail,0.9883022
"Recently,the weather is so changeable.",These days the weather is changeable.,entail,0.5742783
"Recently, the weather changes easily.",These days the weather is changeable.,entail,0.991046
"Recently,It tend to chenge the weather.",These days the weather is changeable.,neutral,0.9290652
It has been raining on and off for nearly two weeks since the rainy season began.,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",entail,0.99819046
Rain sometimes in this two weeks ,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",neutral,0.93357104
"Since rainy season came, it rains repeatedly for two weeks.","Since the rainy season set in, it has been raining off and on for nearly two weeks.",entail,0.9966181
It rains and stop from enter the rainy season.,"Since the rainy season set in, it has been raining off and on for nearly two weeks.",entail,0.9892408
"After entering the Tsuyu, the rain is started or stopped many times for two weeks.","Since the rainy season set in, it has been raining off and on for nearly two weeks.",neutral,0.9986985
Shall we go to take hikking to Okutama if good weather next Sunday?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,entail,0.99028766
Why don't we go hiking if the weather is fine this Sunday.,How would you like to go hiking in Okutama next Sunday if the weather is nice.,neutral,0.571023
"When it will be good weather, would you go hiking to Okutama next Sunday.",How would you like to go hiking in Okutama next Sunday if the weather is nice.,entail,0.9971456
May I go to the hiking in Okutama with you if the wether of the coming Sunnday is fine ?,How would you like to go hiking in Okutama next Sunday if the weather is nice.,neutral,0.996084
"When shall we do hiking next summer,it will be sunny.",How would you like to go hiking in Okutama next Sunday if the weather is nice.,neutral,0.99509794
Weather forecast says Typhoon will come near to Kyushu area in around midnighit tonight.  ,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,entail,0.99533916
"According to forecast, the typhoon is approaching Kyushu-area around this midnight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,entail,0.99663156
"According to the weather forecast, the tayhoon will reach the Kyushu-reagion aroud midnight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,entail,0.97461206
"According to weather broadcast,typhoon is near resion in Kyusyu tonight.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,entail,0.99691284
The weather report says that the typhoon will arrive to Kyushu areas around the midnight tonight.,The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.,entail,0.9940394
It Tokyo is better climet than my home country.,The climate in Tokyo is much milder than that in my hometown.,entail,0.9809533
The climate of Tokyo is much milder than that of my hometown.,The climate in Tokyo is much milder than that in my hometown.,entail,0.99835724
The climate in Tokyo is much milder than in my hometown.,The climate in Tokyo is much milder than that in my hometown.,entail,0.99828905
The climate in Tokyo is milder than that is in my hometown.,The climate in Tokyo is much milder than that in my hometown.,entail,0.99833447
The wether of Tokyo is more liveable than my local reagion.,The climate in Tokyo is much milder than that in my hometown.,entail,0.9926379
"This winter,we have much more snow than usual.",We’ve had more snow than usual this winter.,entail,0.99831676
This winter has a lot of snow .,We’ve had more snow than usual this winter.,entail,0.9960147
It unprecedentedly snows a lot this year.,We’ve had more snow than usual this winter.,entail,0.5999498
There is more snow this year than usual.,We’ve had more snow than usual this winter.,entail,0.98717207
This winter there are a lot of snow rather than other year.,We’ve had more snow than usual this winter.,entail,0.996207
It is heavy snow to become 20 years before.,This is the heaviest snowfall we’ve had for the past twenty years.,entail,0.9817421
It's been a 20 years since snowing such a lot.,This is the heaviest snowfall we’ve had for the past twenty years.,entail,0.97340435
"The heaviest snowfall in recent 20 years.""",This is the heaviest snowfall we’ve had for the past twenty years.,entail,0.99335676
Such large snow is the first time after the large snow twenty years ago.,This is the heaviest snowfall we’ve had for the past twenty years.,neutral,0.9951068
It have been very snow since 20 years.,This is the heaviest snowfall we’ve had for the past twenty years.,entail,0.9980033
Because bus was late in 20minuites according to traffic jam. ,"The traffic was heavy, so my bus came twenty minutes late.",entail,0.9820148
The bus was 20 minutes late because the road was crowded.,"The traffic was heavy, so my bus came twenty minutes late.",entail,0.9713127
"Because of the heavy traffic, the bus was late 20 minites as it scheduled.","The traffic was heavy, so my bus came twenty minutes late.",entail,0.8132398
Because the bus was delayed for 20 minitues by the road traffic.,"The traffic was heavy, so my bus came twenty minutes late.",neutral,0.9968021
Because of crowding a way ,"The traffic was heavy, so my bus came twenty minutes late.",neutral,0.99887544
"I have never ever no  accident,even thought I have taking car 30 yarys.","I have been driving for almost thirty years, but fortunately I have never had an accident.",entail,0.983797
"I have been driving a car almost for thirty years,but I have no car accidents fortunately.","I have been driving for almost thirty years, but fortunately I have never had an accident.",entail,0.9924819
I fortunately haven't got a car accident for 30 years since I started driving a car.,"I have been driving for almost thirty years, but fortunately I have never had an accident.",entail,0.9957176
"I have been driving almost 30years, fortunatery I have never had traffic accidents.","I have been driving for almost thirty years, but fortunately I have never had an accident.",entail,0.9975103
"I've been driving a car for almost 30 years, and fortunately I've never had an accident.","I have been driving for almost thirty years, but fortunately I have never had an accident.",entail,0.9963308
I had shocked to see the nursery kid had bump of truck this trrafic jam this street.,I was shocked at how a small child was run over by a truck at this corner.,neutral,0.97951174
I was shocked that I bumped into the accident which a track drove away a kindergarden student on the cross road in this street.,I was shocked at how a small child was run over by a truck at this corner.,neutral,0.9978872
"I was shocked I saw a Kindergarten  child was hit by the track the intersection of this street, ",I was shocked at how a small child was run over by a truck at this corner.,neutral,0.9898031
I was very shocked to see that the truck went over the child at the crossroad of this street. ,I was shocked at how a small child was run over by a truck at this corner.,entail,0.99472344
I was shocked that younger child attacked by track closs road of the way .,I was shocked at how a small child was run over by a truck at this corner.,neutral,0.9959015
"It shoud make accident,if he were to ride on that train.","If he had been on the train, he would have been in the accident.",entail,0.98991126
"If he had taken the train, he would have been involved in an accident.","If he had been on the train, he would have been in the accident.",entail,0.996191
"If he was on the train, he would have been in the accident.","If he had been on the train, he would have been in the accident.",entail,0.99686384
If he took the train he would got involved in an accident. ,"If he had been on the train, he would have been in the accident.",entail,0.99468344
"If he ride the train, he might have been involved in the accident.","If he had been on the train, he would have been in the accident.",entail,0.9969964
"It takes one day to go Osaka from Tokyo by car, but one hour by airplane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",entail,0.90562415
"It takes a whole day from Tokyo to Osaka by car, but it takes an hour by airplane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",entail,0.9957781
"It takes a day from Tokyo to Osaka by car, it takes an hour by plane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",entail,0.9903134
"It takes a day to go to Tokyo from Osaka by car, but it takes an hour by airplane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",entail,0.9953245
it cosy a day Tokyo to Osaka by car but a minutes by train.,"It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane.",contradiction,0.99564314
I stood all the time because bus and train was very clowed.,"Both the train and the bus were jam-packed, so I had to stand all the way.",entail,0.9939388
The trains and buses were so crowded that I have to stand the whole time.,"Both the train and the bus were jam-packed, so I had to stand all the way.",entail,0.99823666
"Because both the train and the bus were crowded, I kept standing all the time.","Both the train and the bus were jam-packed, so I had to stand all the way.",entail,0.9968458
I stood for a long time because the train or the bus was very crowdy.,"Both the train and the bus were jam-packed, so I had to stand all the way.",entail,0.9944882
I was standing all the time because train and bus crowded.,"Both the train and the bus were jam-packed, so I had to stand all the way.",entail,0.99502003
"I was so tired, when I arrived at the my destination place.",I was tired out by the time I got to my destination.,entail,0.9980819
I was tired when I arrived at destination.,I was tired out by the time I got to my destination.,entail,0.9983814
I was very tired when I arrived at my goal.,I was tired out by the time I got to my destination.,neutral,0.9945634
"When I arrived the destination, I was exhausted.",I was tired out by the time I got to my destination.,entail,0.99832827
