採点フラグ,J-Escore,E-Escore,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
111,0.959052861,0.948566079,1,1,1,1,1
101,0.740954638,0.906193972,0,0,1,0,0
100,0.68807888,0.808049679,0,0,1,0,0
0,0.742345929,0.781770527,0,0,0,0,0
100,0.683049619,0.84848398,0,0,1,0,0
0,0.744944334,0.936952233,0,0,0,0,0
111,0.78956449,0.805171013,1,1,1,1,1
0,0.885839343,0.763939202,0,0,0,0,0
111,0.892820716,0.719632864,1,1,1,1,1
111,0.866532207,0.758767366,1,1,1,1,1
111,0.909821093,0.807883024,1,1,1,1,1
0,0.691015005,0.538354754,0,0,0,0,0
101,0.881337047,0.823203802,0,0,1,0,0
111,0.851209879,0.896657288,1,1,1,1,1
111,0.787652433,0.828531265,1,1,1,1,1
0,0.756567419,0.700543046,0,0,0,0,0
0,0.881597042,0.838276505,0,0,0,0,0
111,0.889647961,0.795292497,1,1,1,1,1
101,0.883582532,0.907414079,0,0,1,0,0
101,0.936938047,0.731826305,0,0,1,0,0
0,0.802244842,0.615299106,0,0,0,0,0
0,0.586352766,0.2297609,0,0,0,0,0
111,0.934596717,0.896229625,1,1,1,1,1
11,0.915161133,0.865446746,0,1,1,1,0
111,0.936430752,0.834469676,1,1,1,1,1
111,0.951356769,0.776084363,1,1,1,1,1
0,0.671441734,0.508405328,0,0,0,0,0
111,0.954785705,0.978651166,1,1,1,1,1
111,0.888573408,0.738343477,1,1,1,1,1
101,0.87944895,0.749941826,0,0,1,0,0
110,0.891996741,0.796751142,0,1,1,0,1
11,0.922265053,0.880176842,0,1,1,1,0
0,0.85330677,0.840714693,0,0,0,0,0
11,0.93761313,0.897681594,0,1,1,1,0
11,0.932032228,0.848990977,0,1,1,1,0
11,0.913446069,0.734523296,0,1,1,1,0
111,0.884018064,0.957189202,1,1,1,1,1
111,0.901077032,0.72131598,1,1,1,1,1
111,0.887818098,0.784868479,1,1,1,1,1
1,0.883472562,0.838528991,0,0,1,0,0
111,0.840818644,0.857784271,1,1,1,1,1
0,0.526604295,0.422049284,0,0,0,0,0
0,0.932274759,0.91013658,0,0,0,0,0
0,0.774304748,0.644546151,0,0,0,0,0
111,0.95741719,0.938024044,1,1,1,1,1
0,0.503914714,0.321099639,0,0,0,0,0
0,0.827751994,0.588397264,0,0,0,0,0
101,0.883004665,0.633020282,0,0,1,0,0
111,0.888026953,0.672166348,1,1,1,1,1
11,0.699337244,0.481895983,0,1,1,1,0
10,0.871342003,0.612801909,0,1,1,0,0
0,0.903279424,0.704344869,0,0,0,0,0
111,0.967168331,0.941146553,1,1,1,1,1
110,0.966010451,0.904389143,0,1,1,0,1
111,0.753349602,0.838366032,1,1,1,1,1
1,0.950360239,0.87878406,0,0,1,0,0
0,0.546333551,0.372021586,0,0,0,0,0
111,0.963409126,0.93209368,1,1,1,1,1
0,0.911425948,0.845539868,0,0,0,0,0
111,0.928793907,0.900075614,1,1,1,1,1
0,0.784817755,0.723447323,0,0,0,0,0
0,0.790638566,0.712171316,0,0,0,0,0
111,0.926634908,0.985107839,1,1,1,1,1
11,0.929135442,0.978700995,0,1,1,1,0
110,0.901762307,0.74878794,0,1,1,0,1
0,0.721253037,0.487722754,0,0,0,0,0
0,0.950623274,0.825810552,0,0,0,0,0
111,0.949300706,0.868265867,1,1,1,1,1
110,0.920373321,0.811086655,0,1,1,0,1
100,0.890009165,0.722982407,0,0,1,0,0
0,0.836271524,0.622784317,0,0,0,0,0
100,0.948312163,0.854440391,0,0,1,0,0
0,0.942168891,0.828590095,0,0,0,0,0
101,0.932029605,0.845261574,0,0,1,0,0
111,0.873832166,0.643226027,1,1,1,1,1
110,0.872079194,0.785843492,0,1,1,0,1
0,0.775210917,0.611684442,0,0,0,0,0
101,0.802672148,0.692674279,0,0,1,0,0
101,0.771401227,0.72925961,0,0,1,0,0
101,0.892150044,0.811908305,0,0,1,0,0
0,0.849429369,0.780728579,0,0,0,0,0
111,0.920617819,0.885954022,1,1,1,1,1
10,0.880671203,0.754445016,0,1,1,0,0
10,0.877964497,0.828882158,0,1,1,0,0
10,0.926667213,0.944035351,0,1,1,0,0
111,0.845336914,0.736543298,1,1,1,1,1
0,0.786943793,0.735289574,0,0,0,0,0
110,0.925380111,0.77382493,0,1,1,0,1
11,0.866479039,0.849157095,0,1,1,1,0
0,0.901464343,0.65842098,0,0,0,0,0
0,0.780857325,0.721547127,0,0,0,0,0
11,0.976692677,0.944337726,0,1,1,1,0
0,0.776329458,0.68898344,0,0,0,0,0
111,0.975448012,0.922912061,1,1,1,1,1
111,0.98733604,0.958014488,1,1,1,1,1
11,0.794042647,0.81669426,0,1,1,1,0
111,0.961904705,0.882805586,1,1,1,1,1
111,0.677896798,0.678000212,1,1,1,1,1
111,0.964268804,0.872059882,1,1,1,1,1
111,0.905434608,0.834769011,1,1,1,1,1
110,0.952622771,0.846897721,0,1,1,0,1
111,0.968324721,0.859519958,1,1,1,1,1
110,0.879082501,0.720531702,0,1,1,0,1
11,0.982227743,0.870905757,0,1,1,1,0
0,0.820775092,0.691431284,0,0,0,0,0
110,0.961390615,0.747238517,0,1,1,0,1
0,0.843821645,0.521439373,0,0,0,0,0
111,0.950499296,0.800824881,1,1,1,1,1
11,0.930214047,0.712433219,0,1,1,1,0
111,0.951344848,0.757484198,1,1,1,1,1
10,0.869245946,0.689907312,0,1,1,0,0
111,0.948117256,0.903444529,1,1,1,1,1
111,0.947013855,0.829021931,1,1,1,1,1
111,0.947877526,0.860065818,1,1,1,1,1
0,0.938126683,0.867751062,0,0,0,0,0
111,0.951894641,0.853746176,1,1,1,1,1
0,0.707796454,0.557857931,0,0,0,0,0
111,0.869091988,0.626643419,1,1,1,1,1
0,0.908406258,0.738981545,0,0,0,0,0
0,0.861564755,0.646808028,0,0,0,0,0
0,0.805060267,0.687358141,0,0,0,0,0
0,0.92019093,0.817404687,0,0,0,0,0
111,0.889689445,0.820906639,1,1,1,1,1
11,0.956484854,0.926585793,0,1,1,1,0
111,0.734455287,0.556015849,1,1,1,1,1
10,0.921032548,0.753604591,0,1,1,0,0
111,0.792069316,0.540609717,1,1,1,1,1
11,0.904732108,0.890871465,0,1,1,1,0
11,0.925035477,0.797051847,0,1,1,1,0
11,0.909315348,0.635515213,0,1,1,1,0
0,0.920394063,0.754200935,0,0,0,0,0
0,0.628496885,0.473451614,0,0,0,0,0
0,0.731901407,0.608148575,0,0,0,0,0
11,0.847668529,0.806101918,0,1,1,1,0
111,0.930926681,0.865305483,1,1,1,1,1
0,0.703203082,0.530077338,0,0,0,0,0
0,0.931923747,0.639109969,0,0,0,0,0
11,0.798374236,0.875884712,0,1,1,1,0
0,0.942748308,0.724415243,0,0,0,0,0
0,0.812204361,0.708857536,0,0,0,0,0
0,0.880831897,0.678775251,0,0,0,0,0
0,0.829798222,0.527427316,0,0,0,0,0
11,0.968124986,0.775302291,0,1,1,1,0
11,0.949730575,0.656926215,0,1,1,1,0
11,0.94913882,0.837849259,0,1,1,1,0
111,0.971041918,0.826728642,1,1,1,1,1
0,0.764513969,0.765105247,0,0,0,0,0
0,0.825238228,0.722350478,0,0,0,0,0
111,0.694316864,0.690303564,1,1,1,1,1
111,0.800440788,0.759146392,1,1,1,1,1
11,0.860625923,0.775208116,0,1,1,1,0
0,0.848864198,0.771792054,0,0,0,0,0
111,0.958525538,0.842103004,1,1,1,1,1
11,0.970355093,0.857283473,0,1,1,1,0
111,0.847992897,0.818721414,1,1,1,1,1
111,0.936333239,0.854419231,1,1,1,1,1
10,0.52444458,0.533598423,0,1,1,0,0
10,0.873817086,0.850245833,0,1,1,0,0
111,0.806745291,0.767608821,1,1,1,1,1
11,0.94545579,0.756724656,0,1,1,1,0
0,0.648779511,0.579667807,0,0,0,0,0
