採点フラグ,J-Escore,E-Escore,111のみ正解とする,010のみ正解とする,0のみ不正解とする,011のみ正解とする,110のみ正解とする
101,0.766053438,0.53165555,0,0,1,0,0
1,0.586098731,0.389715165,0,0,1,0,0
111,0.93735379,0.774732769,1,1,1,1,1
101,0.778562546,0.612220645,0,0,1,0,0
0,0.431854188,0.330557644,0,0,0,0,0
11,0.888406456,0.864048958,0,1,1,1,0
11,0.8769238,0.838354588,0,1,1,1,0
11,0.882275462,0.833174825,0,1,1,1,0
101,0.667157114,0.716635942,0,0,1,0,0
101,0.885688007,0.749926805,0,0,1,0,0
100,0.786259413,0.712903142,0,0,1,0,0
11,0.945547104,0.947441578,0,1,1,1,0
101,0.887404084,0.800694346,0,0,1,0,0
1,0.861728609,0.722218871,0,0,1,0,0
111,0.967543244,0.845334649,1,1,1,1,1
111,0.980236888,0.832671881,1,1,1,1,1
111,0.974301457,0.854056835,1,1,1,1,1
100,0.942735195,0.776468396,0,0,1,0,0
111,0.977539301,0.79134202,1,1,1,1,1
0,0.898984075,0.522058964,0,0,0,0,0
111,0.944974065,0.833158493,1,1,1,1,1
101,0.782223165,0.669028163,0,0,1,0,0
110,0.856911302,0.661889672,0,1,1,0,1
0,0.795060754,0.707464337,0,0,0,0,0
110,0.95068109,0.873564959,0,1,1,0,1
11,0.960548282,0.914712667,0,1,1,1,0
11,0.63997972,0.650684595,0,1,1,1,0
111,0.889059305,0.900048614,1,1,1,1,1
101,0.949057579,0.869529009,0,0,1,0,0
111,0.907851875,0.712748289,1,1,1,1,1
111,0.899912477,0.736751556,1,1,1,1,1
11,0.899831414,0.739317,0,1,1,1,0
110,0.933711708,0.697416425,0,1,1,0,1
111,0.928413033,0.691842139,1,1,1,1,1
0,0.872928143,0.482212961,0,0,0,0,0
1,0.751700103,0.735453129,0,0,1,0,0
110,0.944495857,0.788788795,0,1,1,0,1
11,0.938700676,0.850123525,0,1,1,1,0
111,0.918251812,0.863029599,1,1,1,1,1
0,0.475363702,0.152417526,0,0,0,0,0
110,0.92259413,0.425872535,0,1,1,0,1
101,0.732836545,0.269088268,0,0,1,0,0
111,0.878288567,0.455733716,1,1,1,1,1
11,0.788147449,0.434207678,0,1,1,1,0
0,0.549810052,0.496583998,0,0,0,0,0
111,0.944319308,0.827491641,1,1,1,1,1
110,0.819146574,0.839331746,0,1,1,0,1
110,0.839116454,0.722820401,0,1,1,0,1
1,0.860901356,0.745375752,0,0,1,0,0
111,0.942436814,0.944888711,1,1,1,1,1
11,0.915669382,0.712498963,0,1,1,1,0
11,0.888236165,0.718333364,0,1,1,1,0
111,0.942183375,0.896357417,1,1,1,1,1
101,0.858624816,0.688022673,0,0,1,0,0
101,0.915096164,0.632177114,0,0,1,0,0
0,0.820564032,0.412138492,0,0,0,0,0
1,0.940115452,0.691084623,0,0,1,0,0
0,0.648171306,0.623459101,0,0,0,0,0
110,0.76471442,0.400519669,0,1,1,0,1
1,0.46091783,0.791966558,0,0,1,0,0
111,0.970151544,0.851352096,1,1,1,1,1
111,0.969703674,0.877518177,1,1,1,1,1
11,0.908350348,0.749092102,0,1,1,1,0
101,0.919164956,0.730891943,0,0,1,0,0
101,0.716057301,0.689580083,0,0,1,0,0
1,0.80544579,0.729559779,0,0,1,0,0
0,0.682296991,0.698534489,0,0,0,0,0
111,0.88574487,0.835626602,1,1,1,1,1
11,0.804347396,0.736540794,0,1,1,1,0
0,0.632169783,0.073399179,0,0,0,0,0
111,0.630064845,0.601424277,1,1,1,1,1
11,0.770417094,0.633306384,0,1,1,1,0
101,0.785077572,0.63684386,0,0,1,0,0
1,0.766067445,0.832310379,0,0,1,0,0
100,0.926640511,0.73894918,0,0,1,0,0
0,0.482522249,0.550061584,0,0,0,0,0
111,0.909075499,0.759552717,1,1,1,1,1
101,0.919414878,0.646009982,0,0,1,0,0
111,0.851372182,0.737883925,1,1,1,1,1
1,0.720016837,0.647693515,0,0,1,0,0
11,0.750720143,0.856450081,0,1,1,1,0
111,0.799544752,0.753157854,1,1,1,1,1
111,0.812025666,0.759520411,1,1,1,1,1
101,0.749766946,0.520169735,0,0,1,0,0
101,0.773463488,0.183876872,0,0,1,0,0
11,0.824699163,0.40800637,0,1,1,1,0
110,0.797621131,0.261231154,0,1,1,0,1
111,0.725247383,0.413499057,1,1,1,1,1
0,0.780705214,0.417235821,0,0,0,0,0
111,0.955903649,0.931080937,1,1,1,1,1
100,0.953307033,0.873027205,0,0,1,0,0
111,0.964958847,0.951200843,1,1,1,1,1
11,0.954614043,0.931125164,0,1,1,1,0
10,0.881490946,0.701206207,0,1,1,0,0
10,0.815858245,0.578340113,0,1,1,0,0
11,0.90823108,0.660712004,0,1,1,1,0
111,0.907801569,0.62543118,1,1,1,1,1
111,0.906944215,0.663640141,1,1,1,1,1
101,0.880829036,0.555627108,0,0,1,0,0
0,0.827781796,0.788879156,0,0,0,0,0
111,0.906037092,0.693295896,1,1,1,1,1
111,0.945073485,0.861576736,1,1,1,1,1
111,0.927109957,0.738778949,1,1,1,1,1
10,0.720902324,0.487649173,0,1,1,0,0
111,0.94708544,0.966773689,1,1,1,1,1
101,0.888930619,0.816504955,0,0,1,0,0
11,0.839589596,0.814030647,0,1,1,1,0
1,0.749930739,0.792569458,0,0,1,0,0
101,0.716068029,0.63709873,0,0,1,0,0
110,0.797016501,0.523781776,0,1,1,0,1
11,0.822721243,0.639707327,0,1,1,1,0
0,0.830081344,0.918673277,0,0,0,0,0
10,0.687439919,0.753661156,0,1,1,0,0
0,0.696881771,0.689251065,0,0,0,0,0
10,0.90958178,0.549919784,0,1,1,0,0
11,0.92113924,0.59783268,0,1,1,1,0
100,0.718809009,0.533633411,0,0,1,0,0
11,0.789557695,0.695576608,0,1,1,1,0
11,0.889667988,0.573233366,0,1,1,1,0
1,0.889730573,0.651835203,0,0,1,0,0
111,0.961197019,0.985144794,1,1,1,1,1
111,0.966795802,0.991232038,1,1,1,1,1
111,0.930236101,0.979329467,1,1,1,1,1
0,0.846554279,0.586951137,0,0,0,0,0
111,0.881404638,0.953576088,1,1,1,1,1
101,0.885069907,0.796303332,0,0,1,0,0
111,0.867120922,0.579770446,1,1,1,1,1
111,0.887642026,0.883425117,1,1,1,1,1
11,0.849145591,0.822223306,0,1,1,1,0
101,0.849621773,0.63394469,0,0,1,0,0
11,0.933953166,0.682260931,0,1,1,1,0
11,0.836951673,0.864856124,0,1,1,1,0
101,0.887309551,0.686039925,0,0,1,0,0
10,0.855822027,0.640630603,0,1,1,0,0
11,0.926515162,0.814631224,0,1,1,1,0
111,0.960809588,0.828293085,1,1,1,1,1
101,0.942865968,0.776750922,0,0,1,0,0
100,0.876740098,0.736754179,0,0,1,0,0
0,0.418015927,0.143657833,0,0,0,0,0
0,0.73974818,0.720317543,0,0,0,0,0
11,0.966580153,0.831093252,0,1,1,1,0
11,0.92708987,0.800011635,0,1,1,1,0
10,0.928180695,0.892288089,0,1,1,0,0
11,0.9462291,0.945956409,0,1,1,1,0
0,0.855328321,0.66949892,0,0,0,0,0
0,0.718333364,0.54612726,0,0,0,0,0
11,0.8176018,0.749284863,0,1,1,1,0
111,0.877089739,0.83831197,1,1,1,1,1
0,0.744331062,0.70865798,0,0,0,0,0
0,0.908779562,0.82977283,0,0,0,0,0
111,0.973250866,0.937996864,1,1,1,1,1
111,0.978711188,0.990441561,1,1,1,1,1
11,0.961284757,0.883564353,0,1,1,1,0
11,0.962702692,0.893808365,0,1,1,1,0
